Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Are you ready?,major topic start,,about chosing a good restaurant 
B,Uh-huh.,,,
A,She didn't announce that to you?,,,
B,"Oh, I didn't, I didn't quite hear all of it.",,,
A,"Oh, I see.",,,
A,That's fine.,,,
A,"Um, I think, uh, that's pleasurable for all of us, if we choose the right restaurant",,,
B,Right,,,
A,"So, what are your thoughts on dining out?",,,
B,"Well, I, I really choose restaurants more for the quality of food than anything else.",,,
A,Not for the price?,,,
B,"Well, a little bit for the price,",,,
A,Okay.,,,
B,"but, uh, I think that as far as quality of food goes the some of the most expensive places I've been had the the, really the, the worst quality of food.",,,
A,Uh-huh.,,,
A,The,,,
A,Really?,,,
A,Okay.,,,
B,Really.,,,
B,"Um, a lot of places that even don't look, don't look like much.",,,
A,Uh-huh.,,,
B,"Some of the, some of the best food I have ever had was out of a, outside or inside of a place that we drove up",,,
B,"and I was like, I'm not eating in there",,,
B,Are you nuts?,,,
B,"And, uh, we went in",,,
B,and it was the it was the most wonderful food.,,,
A,"My word,",,,
A,"it's like mama in the back kitchen, huh?",,,
B,Yeah.,,,
A,Oh.,,,
B,I'm serious.,,,
A,Yeah.,,,
B,"Um, a lot of, uh, one place that we went just recently uh, was to Atchafalaya.",minor topic start,,about a food at Kalachandji's restaurant
A,Uh-huh.,,,
B,"No,",,,
B,that's not right.,,,
B,That's not right.,,,
B,That's not right.,,,
A,Okay.,,,
B,someone in the What's the name of that restaurant?,,,
B,in the background Where at? .,,,
B,someone in the background The Hari Krishna.,,,
B,in the background relies Oh. Kalachandji's .,,,
B,Kalachandji's.,,,
B,"It's all vegetarian,",,,
B,"and it, it was just fabulous.",,,
B,"I mean, my husband was aghast because I ate turnip greens and liked it.",,,
A,Wow.,minor topic end,,
A,"And where was that at, near your,",off topic start,,about how to contact Kalachandji's restaurant
B,"Um, Kalachandji's.",,,
B,"It's, uh, it's a Hari Krishna run restaurant.",,,
A,"Where,",,,
A,is it in Dallas?,,,
B,Yes.,,,
A,Is it in the phone book?,,,
B,"Uh, I think so.",,,
B,It should be.,,,
A,Do you know how to spell it?,,,
B,"Uh, it starts with a K.",,,
A,Okay.,,,
B,"So K A L A, I think, C H A N D.",,,
A,"Kalli , K A L L I?",,,
A,Okay.,,,
B,"That should get you close enough to, to be able to find it.",,,
B,"I think it's, uh, probably listed in the restaurants, you know.",,,
A,"Uh-huh,",,,
A,"section,",,,
A,"yes,",,,
A,uh-huh.,,,
B,"But it's, uh, it's just fabulous food.",off topic end,,
A,What about fast foods?,,,
A,"Do you have a preference if you were going to, eat a fast food?",,,
B,"Well, we like Arby's. As far as, fast food goes.",minor topic start,,about Arby's restaurant
A,"You do, like Arby's?",,,
A,See I don't like Arby's.,,,
B,"Oh, really?",,,
B,Why?,,,
A,"No,",,,
A,because they use everything they can and make this into pressed whatever.,,,
A,"They use the, they use the insides of the animals, heart and liver",,,
A,"and they, they form it,",,,
A,"and they make it look like roast beef,",,,
A,"and I said, no,",,,
A,thank you.,,,
B,"Oh, no,",,,
B,"no,",,,
B,no.,,,
B,Someone has been lying to you.,,,
B,What they use is roast beef.,,,
A,"Well, that's not what I heard, from one of, somebody that was supposed to know what they were talking about.",,,
B,"That's what,",,,
B,"Oh, my goodness.",,,
A,Uh-huh.,,,
B,I'm surprised.,,,
B,My dad worked for Arby's for several years.,,,
A,Really?,,,
B,Yeah.,,,
A,Unless somebody is trying to blackball them.,,,
B,"Well, that's happened before.",,,
A,Uh-huh.,,,
B,"But we like good uh, we're, we like Mexican food.",,,
A,Okay.,,,
B,And stuff like that.,,,
B,"And so, um,",minor topic end,,
A,"How about the health food, uh, restaurants? Well, like this one",,,
A,"but it's probably not advertised as such, is it?",,,
A,"Or,",,,
B,A health food?,,,
A,Uh-huh.,,,
A,"Health food, uh, restaurants that,",,,
B,"Like, like,",,,
B,name one,,,
A,"Well well, like, um, well, I can't really think of any off the top of my head right now because there's so few and far between.",,,
B,I'm not sure what you're talking about.,,,
A,"But they ought, there are restaurants that cater to the people that are very health conscious. You know, as far as their cholesterol levels and their, their fat content and, you know, the amount of calcium and so forth that are in each product",,,
A,and they list them.,,,
A,Now there's one restaurant that does that,minor topic start,,about Rodolfo's restaurant
A,and it's called Rodolfo's,,,
A,over on Preston Road and Royal Lane I believe.,,,
B,Huh.,,,
A,And they have very good food over there.,,,
B,I don't guess I've ever been to anything like that,,,
B,"so, I really don't have anything to compare it to.",,,
A,"Uh-huh,",,,
A,uh-huh.,,,
A,"They do list, um, you know, list the fat,",,,
B,"It would be good I think,",,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"uh, I don't know how expensive they are.",,,
B,"It sounds like that it would probably,",,,
A,"Well, it was pretty reasonable.",,,
A,"I, it was around ten dollars for lunch. Okay,",,,
A,which is kind of high for lunch I guess.,,,
B,For one person?,,,
A,Yes.,,,
B,Oh,,,
A,"Yes,",,,
A,uh-huh.,,,
B,A bit,,,
A,Yeah.,,,
A,"Uh, but, um, you were served by maitre d's and, and, uh, um, men waiters.",,,
B,"Yeah,",,,
B,"I, I won't really be interested in going to, in going there. Because, I feel like I'm, I'm paying, you know, five dollars for the food probably and five dollars for something that I could get along quite well without",,,
A,"Well, if you're looking for a nice,",,,
A,Uh-huh.,,,
A,"Well, I guess if you were having, if you were trying to impress somebody like taking somebody that you hadn't seen for a long time and wanted to show them a good restaurant. It's a special occasion, type thing.",,,
B,Yeah.,,,
B,"Maybe, maybe that.",,,
B,Yeah.,,,
A,Yeah.,,,
B,Yeah.,,,
B,"I could see that, then maybe.",,,
A,Uh-huh.,minor topic end,,
A,And now the Red Lobster I found is very nice at lunchtime.,minor topic start,,about Red lobster restaurant.
B,"Yeah,",,,
B,"I like the, the seafood that they, when they had it, you know, the broiled,",,,
A,"Because they're,",,,
A,"Well, they have lunch specials that",,,
A,"you can't, you can't beat that price, uh, if you went to a cafeteria.",,,
B,Yeah.,,,
B,Probably that's true.,,,
B,"But I know a lot of their, a lot of their specials sometimes are fried things, that you can't really get away from the fried,",,,
A,"Well, I had the, I had a broiled chicken breast",,,
A,and it was excellent.,,,
A,"It was a marinated, broiled chicken breast",,,
A,and it was,,,
B,Now why would you go to a seafood restaurant to eat chicken?,,,
A,"Oh, it was,",,,
B,That's one of my husband's pet peeves.,,,
B,"He doesn't understand why somebody would go to a seafood place and eat either chicken or steak, you know.",,,
A,"Well, I've never had catfish either in a restaurant because I'm from the north",,,
A,and that was a no no.,,,
B,"Oh, really?",,,
A,And I haven't gotten over that from the north.,,,
B,"Oh, catfish is wonderful.",minor topic end,major topic end,
A,"I know they say that, that is,",major topic start,,about how the fishes and chicken gets polluted and are eaten which is unhealthy .
B,"Oh, really.",,,
A,"but I'm, but they've got all these caution signs now on fish",,,
B,Really.,,,
A,and so I kind of stay,,,
B,Why?,,,
A,"Because of all the pollution in the lakes and the, everywhere. I mean there isn't any safe haven anymore for fish.",,,
B,Oh.,,,
B,Huh.,,,
A,"and especially, uh, in Wisconsin and Michigan they say, no, buying of our fish.",,,
B,"That's too bad, because I'm probably not going to stop eating it",,,
A,"I,",,,
A,"Well, yeah.",,,
A,"So I am,",,,
A,"and the, the best brand of chicken to buy is the, uh, Pilgrim Pride because they don't use all these hormones to remote , uh, unnatural growth in their products.",,,
B,Uh-huh.,,,
B,Yeah.,,,
A,"So I mean, we have to be on the lookout if we want to stay healthy.",,,
B,That's true.,,,
A,"So I'm, I, you know, I,",,,
B,"Oh, on one hand I see that",,,
B,"and on the other hand, uh, my older sister remembers when, uh, at one point they were taking radioactive wastes and storing them in tin barrels which I guess, had a half-life of, oh, five years if they sit empty on dry land.",minor topic start,,how radioactive waste polluttes the water bodies as told by B's elder sister
A,Uh-huh.,,,
A,Yeah.,,,
A,Corrode.,,,
A,Huh.,,,
B,So they're putting radioactive waste in it which reduces it dramatically.,,,
A,Uh-huh.,,,
B,And then they take these things that will rust,,,
B,and they throw them in the ocean which is going to speedup the process even more.,,,
A,"Well, I'd like to get ahold of some engineers and knock their heads together if it would do any good.",,,
B,Oh.,,,
B,And then they wouldn't think.,,,
B,They were floating around,,,
B,so they shot holes in them to sink them.,,,
A,"Oh, dear.",,,
B,And this is before I was born.,,,
A,Wow.,,,
B,"So, I mean we're taking thirty years ago, this happened,",,,
A,Sure.,,,
A,Yeah.,,,
B,"and, and who's, you know, the tuna is radioactive to a certain extent.",,,
A,That's right.,minor topic end,,
A,Everything we eat.,,,
A,"Everything, everything we eat should have a label on it",,,
B,You can't get away from it,,,
B,"so I think, To some point,",,,
A,Yeah.,,,
B,"yeah,",,,
B,"you know. So there's, you know, there's some things I think we can we, you know we can't avoid for health purposes and some things that we just need to like, you know,",,,
B,this is not in my control.,,,
A,"Well, you know,",,,
B,"So I'm either going to be, I'm either going to starve to death",,,
