Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"So, do you fish?",major topic start,,Talking about fishing
B,"Oh, yeah.",,,
B,"My dad has a lake cabin,",,,
B,"and so we go there for the small lake, uh, just outside of the Dallas Fort Worth area.",,,
B,It takes us about three hours to get there.,,,
B,"And we go, and we fish,",,,
B,"and we catch a bunch of junk Nothing, nothing to talk about for the most part,",,,
B,but it's fun.,,,
A,"Uh, from a boat or from shore?",,,
B,"From the dock, from shore.",,,
A,"Oh, that's nice.",,,
A,"Uh, mostly catfish",,,
A,"or,",,,
B,"Oh, mostly we catch carp.",,,
B,"If we're doing good, we catch a catfish or two once in a while.",,,
B,"And, you know, we go ahead and eat those.",,,
B,But we've never caught enough to really have what you'd call a fish fry.,,,
B,"What we normally do is just, uh, go ahead and clean it up, and then, uh, you know, put it in a bag and freeze it.",,,
B,"And, and somebody takes it home and eats it then when there's just a couple people instead of a whole crowd.",,,
B,"Usually, there's a pretty good crowd there,",,,
B,so we don't ever catch enough to eat.,,,
B,Carp is usually pretty much fun.,minor topic start,,"Talking about Carp, a type of fish"
B,"Because I've caught up to about an eight pound carp on a little, you know, a little pole with twenty pound test line.",,,
B,"And that, that's a pretty good fight.",,,
B,So that's a lot of fun.,,,
A,Yeah.,,,
A,"A real light line, real light rig?",,,
B,Yeah.,,,
A,"Well, that sounds like fun.",,,
B,They fight hard.,minor topic end,,
A,Fish in Colorado different than that.,minor topic start,,Talking about fish and fishing in Colorado
B,Yeah?,,,
A,Mostly trout in the mountains.,,,
B,"Yeah,",,,
B,and in the rivers and stuff?,,,
A,"Yeah,",,,
A,"yeah,",,,
A,mountain streams and rivers.,,,
B,Are they good to eat?,,,
A,"Uh, yeah,",,,
A,"very. Yeah, very much there, you know.",,,
B,"Oh, you mean size wise they're not very big?",,,
A,"Um, by and large, no.",,,
A,"But, but they're big fun.",,,
B,Yeah.,minor topic end,,
B,"Well, I've been,",off topic start,,Talking about Fly Fishing
B,"is that mostly, uh, fly fishing when you're doing that",,,
B,"or,",,,
A,What?,,,
B,Are you fly fishing,,,
B,or are you using a bobber?,,,
A,"I, I, I'm a fly fisherman.",,,
B,Yeah.,,,
A,"Yeah,",,,
A,"I, I cast a ways.",,,
A,"I'm not highly proficient,",,,
A,but it's fun.,,,
B,I've never even tried that.,,,
B,"My,",,,
B,"if I don't have a reel with a button on it, I tend to get so much backlash, it's not worth the trouble",,,
A,"Well, let me explain fly, fly fishing to you then.",,,
A,You're not casting a weight on the end of the line?,,,
B,Uh-huh.,,,
A,You're casting the weight of the line.,,,
B,With the little thing on the end.,,,
A,"Yeah,",,,
A,"well,  the fly on the end weighs nothing.",,,
B,"Yeah,",,,
B,I thought it had a weight.,,,
A,It weighs less than the line.,,,
B,Oh.,,,
A,"So what you do is, you strip off, oh, four, five, six little rolls, coils, of line into your hand.",,,
B,Uh-huh.,,,
A,And  you whip the line.,,,
B,Um.,,,
A,"As you whip it, over your head,  or  side to side, you slowly feed out more and more.",,,
B,Uh-huh.,,,
B,Um. So you're fishing downstream so it will carry some?,,,
A,"Well, no,",,,
A,no.,,,
A,You fish upstream.,,,
B,"Oh, you fish upstream?",,,
A,Right.,,,
A,And then you let it carry it downstream.,,,
B,Uh-huh.,,,
A,"And then you reel it in,",,,
A,and you do it again.,,,
B,"You hope that they think it's a bug and,  and eat  it.",,,
A,"Yeah,",,,
A,exactly.,,,
A,"Yeah,",,,
A,exactly.,,,
B,Yeah.,,,
A,Jump at it.,off topic end,,
A,"Uh, from what I'm seeing and hearing and all, the, the big pattern that's really looking forward for spring is the grub pattern.",minor topic start,,Talking about fishing patterns
B,That's a fish?,,,
A,"No,",,,
A,no.,,,
A,"It, it looks like a grub.",,,
A,Yeah.,,,
B,"Oh, it's a, it's a lure.",,,
A,"Okay,",,,
A,"whenever you, yeah,",,,
A,"a lure, a fly.",,,
B,I see.,,,
A,"Whenever you have a, something that looks like something else",,,
B,Uh-huh.,,,
A,"and it's a fly, you call it a pattern.",,,
B,Oh.,,,
A,"All right, uh, you know, there's bumble bee patterns there's excuse me. Uh, there's bumble patterns, there's mosquito patterns, there's wasp patterns, there's grub patterns.",,,
B,Uh-huh.,,,
B,Um.,minor topic end,,
A,"Uh,",,,
B,"Did someone just come up with this design,",,,
B,"and, and you're going to make one for yourself,",,,
A,"Uh,",,,
B,or  are you going to buy it?,,,
A,You can buy them.,,,
A,"Uh, I've got some.",,,
A,"And, They seemed to have been hitting real heavy on it in Fall.",,,
B,Uh-huh.,,,
B,"Oh, it's just, that, that just happens to be what the fish like this year,",,,
B,huh?,,,
A,"Yeah,",,,
A,yeah.,,,
B,Um.,,,
A,"You know how that changes, the phase of the moon",,,
A,"and,",,,
B,I guess so.,,,
B,"We tend to use just bait. And, a few lures,",,,
A,Yeah.,,,
A,"Yeah,",,,
A,"I, I, You see, I'm from west Texas.",off topic start,,"Personal talk, where doe each other live"
B,"but bait tends to work the best, just some blood bait.",,,
B,"Oh, are you?",,,
A,Yeah.,,,
B,Where are you from?,,,
A,Lubbock.,,,
B,"Oh, I'm from Midland.",,,
A,"Oh, another west Texan.",,,
B,"I went to college at Tech,",off topic end,,
B,so. You've been out to Buffalo Gap fishing.,,,
A,"Yeah,",,,
A,yeah.,,,
B,Yeah.,,,
B,I've been up there.,,,
A,"It, It, it's kind of nice way to get away from everything for the day.",,,
B,"I didn't catch anything,",,,
B,but I've been up there,,,
B,"Yeah,",,,
B,it's fun.,,,
B,It's lazy.,,,
B,Take a picnic lunch.,minor topic start,,Talking about family and picnics
B,I used to do that with my dad.,,,
B,Every once in a while we'd go out on a Saturday and just spend the day. Before it got too hot.,,,
A,Yeah.,,,
A,"Well, there you fish mornings and evenings. And nights.",,,
B,Yeah.,,,
B,"Yeah,",,,
B,we do most of our fishing at night.,,,
A,Yeah.,,,
B,Just from the heat of it all.,,,
B,That's one advantage you've certainly got on us.,,,
A,"It, at times, gets incredibly hot here.",,,
B,It does?,,,
B,I've only been up there once.,,,
B,"In the summer. Well,",,,
B,"no,",,,
B,I've been up there twice in the summer.,,,
B,But both times it was really pleasant.,,,
B,"In fact, it snowed on us in, in, gosh, when was that?",,,
A,June?,,,
B,"We were in Mesa Verde Park,",,,
B,and it was like the end of It was just before July fourth.,,,
A,Oh.,,,
B,"And it was twenty-eight, twenty-nine degrees.",,,
B,"We were out in this silly tent with regular little sleeping bags, not knowing any better",,,
B,"And here it went and it froze,",,,
B,and it snowed on us.,,,
A,Yeah.,,,
B,We did not know what to do about it.,,,
A,"Fishing is not just, just dragging fish out of the water.",,,
A,"It's, it's a total experience, you know, getting out in nature and,  hearing  the crickets, and listening to the birds and,  seeing  the squirrels and,  camping  out, and eating out,  of  doors",,,
B,Yeah.,,,
B,Uh-huh.,,,
B,"Do,",,,
B,Yeah.,,,
A,"and,",,,
B,"Do you have to,",,,
B,do you wear waders when you fish?,,,
A,"Uh, I probably ought to.",,,
A,I just freeze.,,,
B,Oh.,,,
B,"Goodness, it must be a little bit cold.",,,
A,"Yeah,",,,
A,"yeah,",,,
A,"well, you know,  ankle deep or standing on  the bank, and slipping it out there.",,,
B,That's cold water around there.,,,
B,"Um. Do you have any,",,,
A,"You know, I always intend to just stand on the bank and just kind of slip it,  out there,",,,
B,"Oh, I see.",,,
A,and  you know how it is.,,,
A,"The water's kind of,",,,
B,Yeah.,,,
B,"And you get, you get a little more carried away with it,",,,
B,and you move a little closer.,,,
A,"And then you're in to it just a little bit,",,,
A,and then you splash in,,,
A,"and,  the  next thing you know, your knees are wet.",,,
B,Yeah.,minor topic end,,
B,Do you have any kids that you take fishing?,off topic start,,Talking about their kids
A,"Uh, got a stepdaughter.",,,
B,Uh-huh.,,,
A,She's real sweet.,,,
A,"And, uh, at times she enjoys it, at times not.",,,
B,Yeah.,,,
A,A fuzzy little dog.,,,
B,I have a three and a half year old and a one and a half year old.,,,
A,Oh.,,,
B,"And the little one, of course, is, could care less.",,,
A,Yeah.,,,
B,"The,  uh, three and a half year old has just gotten to the point,",,,
B,"we got him a little pole last year,",,,
B,"and just put, uh, his big thing last year was throwing it in the water and reeling it up",,,
B,That was what he considered fishing,,,
B,"This year, he's gotten to where he can.",,,
B,"We, we were at a friend's, uh, stock pond, we were out at their farm,",,,
B,"and, and they had been fishing and let him use the pole while we we all walked off a healthy hundred yards or so and let him fish.",,,
A,Yeah.,,,
B,And he started trying to cast it.,,,
B,"So, he, he was kind of getting there",,,
B,"but he's, He's at a dangerous point right now",,,
A,"Yeah,",,,
A,you guys sure want to be out of range.,,,
B,"He understands the mechanics of pushing the button and throw, but not necessarily the direction it's going to go in.",,,
A,It takes time.,,,
B,Yeah.,,,
A,Yeah.,off topic end,,
A,"Last year, we had a, oh, just a wonderful trip up to Travers Lake. * Trapper's Lake in Colorado?",off topic start,,Talking about an old trip in Colorado
A,"Oh, it was cold, and rain the whole time.",,,
A,"And we still had a good time out,  of  the deal.",,,
B,Yeah.,,,
B,"Well, that's good.",,,
A,"Uh, and Colorado is a beautiful place to live.",,,
B,"Oh, yeah.",,,
B,"My husband would like to live there,",,,
B,but I don't know. All of our family is here,,,
B,"so,",,,
A,"Well, and you've got to have,",,,
A,you've got to work for a living.,off topic end,,
B,"Well, yeah,",,,
B,"but T I is up there,",,,
B,so that part of it would probably work out,,,
A,What division you all in?,off topic start,,Talking about kids and their divisions
B,"I'm sorry, what?",,,
A,What division are you all in?,,,
B,"We're both, uh,",,,
B,"I was, uh, military,",,,
B,but he's division three.,,,
B,It goes back and forth.,,,
B,"Division, well,",,,
B,maybe division one right now.,,,
B,He's in computers.,,,
A,Oh.,,,
B,"So,",,,
A,"Well, the only thing up here,  is division one.",,,
B,"And he's in school,  and everything else.",,,
B,I have some friends who work up there.,off topic end,,
A,"Oh, yeah?",,,
B,Kathy and Kevin Guy.,,,
A,Okay.,,,
A,Yeah.,,,
