Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,So how do you get most of your current event information?,major topic start ,,talking and discussing about the methods in which they get information regarding the surroundings.
B,"Well, , see I'm going to school right now,",minor topic start,,taking about the reasons why he cannot opt for certain methods of getting information.
B,"and, uh,  while I'm working, I don't get a, I don't get a chance to read the paper a lot,",,,
A,Uh-huh.,,,
B,"and I don't watch T V as much really either, because, uh, my free time is kind of,",,,
B,"and I do, like to do other stuff with it.",,,
A,Right.,minor topic end,,
B,"While I'm at work sometimes, I, on the computer network um, I read the news sometimes,",,,
A,Uh-huh.,,,
B,and that's kind of helpful.,,,
A,"I would imagine going to college, though, your professors and different things,",,,
A,you keep up on what's going on.,,,
B,"That's true,",,,
B,"I mean, my roommates and stuff, you know people around me talk about it.",,,
A,Yeah.,,,
B,"And the people I work with are pretty, you know, up, up-to-date on that kind of stuff,",,,
B,so.,,,
A,Right.,,,
A,"Well, I'm a housewife,",minor topic start,,she is describing her situations for certain preferences of information retreiving.
A,"I have three kids,",minor topic end,,
A,"and so  um, I get most of my information probably through just the news at six o'clock and then, um, talking with people and just hearing what's going on.  .",,,
B,Uh-huh.,,,
B,Yeah.,,,
B,"Do you watch,  do you watch the network, like major network news,",minor topic start,,talking about the major shows they watch and their contents
B,or do you watch like  the MACNEIL LEHRER HOUR?,,,
A,Just the  regular channel  just channel eight.,,,
B,"Oh, really.",,,
A,That's our channel here,,,
A,"that's the, um, eyewitness news.",,,
B,Uh-huh.,,,
A,So.,,,
B,"Oh,  see channel, where I am channel eight's, um, like public T V,",,,
B,so it's kind of different.,,,
A,"Oh, uh-huh.",,,
A,Yeah.,minor topic end,,
B,"I think,  I think the, uh,",,,
B,"I think a lot of the commentators on, like the major networks, like right, it's kind of appropriate right now because of the election stuff going on,",minor topic start,,talking about negative affect of some media shows.
B,"but, um, it seems that, um, they kind of get to throw their opinions into how they, you know, report on the news.",,,
A,Right.,,,
A,"And I think even in the elections, they choose who they're going to follow and who they're not,",,,
A,"and basically you know, if a candidate can get them to follow, then the news will, you know, kind of publicize his name.",,,
B,Yeah.,,,
B,"Yeah,",,,
B,exactly.,,,
A,I don't think that the way I get the news is the right way to get it.,,,
A,I think you get a very lopsided picture of what's going on.,,,
B,"Uh-huh,",,,
B,"because they can, they can only report on, I mean,",,,
B,"they give each candidate perhaps, you know, ten second blurbs in which to, you know, to say, you, you just can't get a full picture of, you know their message unless you have time to sit down and and probably read something on it.",,,
A,Right.,,,
A,Right.,,,
A,"And the news, too, it just doesn't, um, cover that many stories,",,,
A,"I mean, it just covers your basic, you know, violent crimes and, you know, and, and your catastrophes with weather and stuff,",,,
B,Yeah.,,,
A,"but other than that, you really don't know what's going on.",minor topic end,,
B,Yeah.,,,
