Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Here goes Sharon.,opening,,
B,Okay.,,,
A,Well what do you think about Nolan Ryan being the first baseball player to earn a million dollars?,major topic start,,general talk about baseball
A,That's the only thing I found out tonight,,,
B,"Oh, you found that out tonight?",,,
A,Yeah.,,,
B,"I haven't even heard that,",,,
B,that's great.,,,
B,I think he deserves every penny of it.,,,
A,Yeah.,,,
B,"But, there are some others out there that I don't believe deserve the money they're getting.",,,
A,"Well, isn't it funny how baseball's getting less than like football players would.",minor topic start,,comparing salaries of football and baseball players
B,"Oh, yeah.",,,
A,"Wonder because football,",,,
B,"And they play a lot, they play a lot longer season, too.",,,
A,"And a lot more games, right?",,,
B,"Yeah,",,,
B,that's exactly right.,,,
A,Uh-huh.,minor topic end,,
B,"But I think, let's see,",,,
B,"the teams that were there last year were, see, somebody from California,",,,
B,I don't even know who won the pennant last year.,,,
A,Beats me.,,,
A,"I mean, I know Yankees have won a lot games through the years.",,,
B,Yeah,,,
B,Not lately though,,,
A,"We have been talking about this,",,,
A,"I tried to call earlier,",,,
B,Uh-huh.,,,
A,"and we had made a list of all these, uh, baseball teams and the cities that they were from,",,,
A,then I started cleaning,,,
A,and I don't even know where I even put that paper,,,
B,Threw it away,,,
A,Yeah.,,,
A,"I was just cleaning and throwing,",,,
B,"Oh, gosh.",,,
B,Let's see.,,,
B,"The teams that,",,,
B,I think the A's were in it last year.,,,
B,"The Oakland A's, and I think it was, I don't think it was an all California baseball.",,,
A,"Well, have you ever played baseball?",off topic start,,talking about the sports B played
B,I played softball.,,,
A,"Well, that's what I did when I was growing up.",,,
B,Yeah.,,,
A,That was fun.,,,
B,"Yeah,",,,
B,that's fun,,,
B,That's a whole different sport.,,,
A,Uh-huh. in,off topic end,,
B,"Yeah,",,,
B,"let's see,",,,
B,"but I think, I think the Rangers need to go",,,
B,and I think the Pirates will go.,,,
B,"And, uh, let's see,",,,
B,"Rangers have got a new guy this year,",,,
B,I don't even remember his name either.,,,
A,Do you ever go see the Rangers?,minor topic start,,talking about B's experience watching baseball
B,"Every once in a while I, I like to go on the nights when there's not anybody out there, not very many people out there.",,,
B,It's a lot more fun when your not fighting a crowd.,,,
A,Yeah.,,,
A,"I think it's fun,",,,
A,I like just looking at the billboards.,,,
B,Yeah.,,,
B,"sometimes when I, if you go out there during the day, you just fry under the sun.",,,
A,"Yeah,",,,
A,it's nice at night.,,,
B,Yeah.,,,
A,That's when I've been.,,,
B,It is.,,,
A,"Well,",minor topic end,,
B,"And do you know anything about that new stadium,",minor topic start,,talking about the new stadium and the availability of alcohol
B,have you seen all those pictures that they're going to put out there?,,,
A,No.,,,
B,"Yeah,",,,
B,"that, that huge",,,
B,it's suppose to be a huge stadium,,,
B,and it's going to have little shopping centers in it and little like a lake or something running through it.,,,
B,"And, uh, they're going to try to make it a real community center out there.",,,
A,"And your going to be able to buy your,",,,
A,"what was, no, wait about the liquor?",,,
B,"That's, that's in, uh, Texas stadium where the football players, play",,,
A,"Oh, yeah,",,,
A,"so you,",,,
B,and they're never going to let liquor in there.,,,
A,"Well, they're trying.",,,
B,"I know,",,,
B,but they try every year,,,
B,and every year they get thrown out.,,,
B,"It's so stupid because they let you take it in there,",,,
B,"but they don't, they don't allow you to sell it, don't allow them to sell it there.",,,
A,Uh-huh,,,
B,"But, uh, that new stadium's going to be real nice,",,,
B,"and I heard that there's, uh, that you can bid on that stadium",,,
B,"last night on the news I heard that they said you could, you could bid on the stadium to have it named after you,",,,
B,so.,,,
A,"Uh-huh,",,,
A,right.,,,
B,And it's going to go to the highest bidder,,,
A,"Oh Well, that's the way to do it.",,,
B,"Yeah,",,,
B,"so that could be your, you know, fifteen minutes of fame.",minor topic end,major topic end,
A,You hear that?,off topic start,,some tv show playing in the background
A,That's my kids turning on their music.,,,
B,Oh.,,,
A,to child in the Holly turn it down.,,,
A,"I think it's the Bart man, the Simpsons",,,
B,"Oh, God I stay away from them.",,,
A,I wish I could,,,
B,I bet you do.,off topic end,,
A,"Well, where are you?",major topic start,,talking about their lives
B,In Plano.,,,
A,"Okay,",,,
A,I'm in Garland.,,,
B,"Oh, you are?",,,
A,"Yeah,",,,
A,my my husband teaches in Plano.,,,
B,"Oh, what's he teach?",,,
A,C V A E.,,,
B,Uh-huh.,,,
B,"So, what do you do?",,,
A,"I teach,",,,
A,but I teach for Dallas.,,,
B,"Oh, you do?",,,
A,For right now.,off topic start,,talking about bureaucracy in the education sector
A,I'm trying to get out.,,,
B,Is that a tough system to be in?,,,
A,Uh-huh.,,,
