Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,What?,opening,,
A,Do you want to start?,,,
B,"Uh, you hit, you hit, uh,",,,
B,it doesn't matter.,,,
B,"Um, we're discussing the capital punishment, I believe.",major topic start,,discussing capital punishment
A,Right.,,,
A,You are right.,,,
A,Yeah.,,,
A,"I, I suppose I should have,",,,
B,"Uh, which",,,
B,"I am, am pro capital punishment except that I don't like the way it's done.",,,
A,Uh-huh.,,,
A,"Uh, yeah,",,,
A,"uh, I, uh, I guess, I, I hate to see anyone die, uh",,,
B,Uh-huh.,,,
A,"but, uh, I guess these people that go around and, and kill children and women and everything else without any remorse, uh, I don't think they deserve to, to live and be supported by us the rest of their lives.",,,
B,"I, I agree.",,,
B,"I, I'm,",,,
B,capital,,,
B,"the, the,",,,
B,"capital punishment is necessary in, in many cases",,,
B,"but, uh, the,",,,
B,"it's not a deterrent, um, or our jails would not be so full.",,,
B,There wouldn't be so many people in Death Row.,,,
A,Uh-huh.,,,
B,"I think it needs to be something, uh, uh, a throwback to where they did a, uh, public execution where it's visible.",minor topic start,,talking about how to give punishment
A,Yeah.,,,
B,"Uh, something, you know, not gruesome",,,
B,"but, but something more where people know that it, it was a deterrent and it was equal for all people.",,,
B,"If you committed a certain crime, you were going to receive a death penalty",,,
B,and it was going to happen to you.,,,
A,Yeah.,,,
B,No stays of execution.,,,
B,"No, no loopholes,",,,
B,"no,",minor topic end,,
A,"Well, and even, even that I don't really know if that would help.",minor topic start,,speculating why people resort to crime
A,"I think a lot of these people do it, uh, mainly because of, of T V",,,
A,"and,",,,
B,Notoriety.,,,
A,"the double reason they, they see it being done on T V and also the fact of, of notoriety.",,,
A,"I mean, they become well known.",,,
A,"They are almost like, like a big star.",,,
B,"yes,",,,
B,"but, but they, they know that their chances of actually receiving the death penalty are minimal.",,,
A,Yeah.,,,
B,They know that they will probably be out in ten to twelve years.,,,
A,Uh-huh.,,,
B,That they are going to write a book.,,,
B,They are going to go on talk shows,,,
B,they're,,,
B,"that, that, that's a reward uh, for a heinous crime rather than, uh, having them pay the penalty which is forfeiture of their life.",,,
A,Yeah.,,,
A,Right.,,,
B,"In, in complete, uh,",,,
B,of any notoriety.,,,
A,Yeah.,minor topic end,,
A,"Well, I, I, I think if they went according to, uh, the BIBLE where it does say, an eye for an eye, a tooth for a tooth, a life for a life,",,,
B,Uh-huh.,,,
B,Right.,,,
A,"uh, you take a life you give yours.",,,
B,Right.,,,
A,"Uh, uh, that's for sure.",,,
A,"Uh, there's exceptions to the rule",,,
A,"I mean if, if it's an accidental taking then, uh, you look at that",,,
A,"but, you know, most of these people that down right go right and, and do it out of pure pleasure uh, I don't, uh, like to see that.",minor topic start,,trying to understand the mind of a psychopath and how the government doesnt do enough to punish them
B,Uh-huh.,,,
A,"I guess also the fact that they say it's not a deterrent,",,,
A,"it is a deterrent in the, in the sense that that person will never do it again",,,
B,"Well, yes,",,,
B,they will.,,,
A,"Not, not, not if he's killed he can't, do it again.",,,
B,"It,",,,
B,"Oh, ,",,,
B,"well, that's correct,",,,
B,yes.,,,
B,"if, if he indeed receives the death penalty and it is, it is executed.",,,
A,The death penalty.,,,
A,Uh-huh.,,,
B,Yeah.,,,
B,"But, but the, the, the chances are not great that that will happen.",,,
A,Right.,,,
B,But there's a greater chance that he'll be back out on the streets in twelve years.,,,
A,"Uh-huh,",,,
A,yeah.,,,
A,"Well, I, I guess I'm also looking at beyond even that.",,,
A,"I, I, I guess I been thinking about it",,,
A,and I don't have a definite opinion,,,
A,"but, uh, repeat, uh, crimes uh, maybe not the, the more mild ones but, you know, a more severe ones especially on, on armed robbery and stuff where they been taking from elderly people, and not just taking the money but beating them half to death.",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
B,That's right.,,,
A,Just for pleasure too,,,
A,and I guess you've got to look at something like that.,,,
B,Yes.,,,
A,"Do they deserve to, uh, remain on this earth too?",,,
B,"Why, you know, you could carry it to that if, uh, if they are a repeat offender",,,
B,"and, and you know that as soon as you let them out on the streets they are going to do this.",,,
B,"Unfortunately the way our system of jurisprudence is set up, um, you only receive the death penalty for capital crimes,",,,
A,Right.,,,
B,"and of course uh, of battery or assault or, that is not a capital crime see.",,,
B,"You, you wouldn't be able to under our system.",,,
A,Right.,minor topic end,,
B,Now China and a few other countries have a little different view of that.,,,
B,"Um, you get caught with dope there and you die, period.",,,
A,Yeah.,,,
A,Uh-huh.,,,
B,"There is, there is no, no appeals.",,,
B,"There is no,",major topic end,,
