Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Okay,major topic start,,about interest of B in tole painting and of A in woodworking
A,"what, do you do artistic painting?",,,
B,"Uh, I do tole painting.",,,
A,"Oh, you do?",,,
B,"Uh-huh,",,,
B,I really love the tole painting.,,,
B,"Uh, I haven't done any of the oil or watercolor.",,,
B,"I would like to learn that someday,",,,
B,but right now my passion is tole painting,,,
A,Do you do a lot of it?,,,
B,Uh-huh.,,,
A,"I, I took one class about, I guess three or four years ago",,,
A,"and I've done a little, uh,",,,
B,Oh.,,,
A,But it takes a lot of time,,,
B,"It does,",,,
B,it is real time consuming,,,
B,"and,",,,
A,do you sell your projects?,,,
B,"Uh, mostly I have just given them away as gifts.",,,
A,Uh-huh.,,,
B,"Uh, I've done, uh, perpetual calendars and cookie jar lids and, oh, on and on, you know, just things like that,",,,
B,"but uh, I would eventually like to make enough to sell and quit my job",minor topic start,,about why B does not take tole painting as a profession
A,Uh-huh.,,,
A,Where do you work at?,,,
B,"I just work at Stop and Shop out there in, in Ogden",,,
B,"so,",,,
A,Now do you ever send any of your stuff to the boutique?,,,
B,"No,",,,
B,"I've wanted to do that, uh, but just haven't, just haven't mass produced enough to do that.",,,
A,Uh-huh.,,,
B,"So, I have five children of my own,",,,
B,so it's,,,
A,That keeps you busy.,,,
B,"they, they keep me busy",,,
B,"and tole painting is just a, you know, something I do in my spare time",minor topic end,,
B,so,,,
A,Uh-huh.,,,
A,"Have you tried any of the,",,,
A,"well, do you cut out your own projects?",,,
B,"Yes,",,,
B,"uh-huh,",,,
B,I have my own saws,,,
B,and so I really enjoy doing that.,,,
A,"Huh. Do you, uh, ever spray your projects with the, I mean a base coat first",,,
A,or do you brush it on?,,,
B,"I brush it on,",,,
B,"yeah,",,,
B,"I haven't tried a, a spray varnish.",,,
B,I use just a wood sealer.,,,
A,Uh-huh.,,,
B,Yeah.,,,
A,"I just bought a spray gun, one of those airless, uh, not airless, high volume, low pressure spray guns.",off topic start,,about spray guns bought by A
B,"Oh, uh-huh.",,,
A,And I do a lot of woodworking,,,
A,and that's what I bought it for.,,,
B,Do you?,,,
B,Oh.,,,
A,But I haven't used it yet.,,,
B,"Oh, well that's that 'ud probably give you a smoother finish, wouldn't it?",,,
A,Yeah.,,,
B,Oh.,,,
A,Yeah.,off topic end,,
B,Now what type of woodworking do you do?,,,
A,"Uh, fine furniture.",,,
B,Oh  do you?,,,
A,Yeah.,,,
A,"That's why I brought, bought the sprayer is to finish my projects.",,,
B,Oh.,,,
A,"That's my worst, worst part of my woodworking.",,,
A,I get so sick of making,,,
B,"Oh, but it's hard to finish it, huh.",,,
A,"Yeah,",,,
A,but spraying does put on a nicer finish.,,,
B,"Oh, well, that is interesting.",,,
B,"So, what kind of equipment do you have?",,,
A,For woodworking?,,,
B,Uh-huh.,,,
A,"Uh, let me see,",,,
A,"table saw, scroll saw, band saw, lathe, routers,",,,
A,and about it.,,,
