,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Okay.,minor topic start,major topic start,Asking suggestion from A about day care centers and baby sitters and minor- about each speakers children or brothers,1
1,B,"Well, I take it since you selected this topic that you have children.",,,,1
2,A,"No,",,,,1
3,A,"I don't,",,,,1
4,B,You don't?,,,,1
5,A,but I have nine younger brothers and sisters.,,,,1
6,B,My goodness.,,,,1
7,B,"So. Well, I have two daughters",,,,1
8,B,"and, um, they're past this, they've been latchkey children for a while,",,,,1
9,B,"and they're almost where I can start saying they're, you know, young adults,",,,,1
10,A,Uh-huh.,,,,1
11,B,so I don't have to worry about child care too much anymore.,minor topic end,,,1
12,B,"Um, we're supposed to discuss what criteria we would ask, or expect.",,,,0
13,A,Uh-huh.,,,,0
14,A,"I would assume it's, you know, if you were looking for a day-care center or something like that.",,,,0
15,B,"Well, if I were",,,,0
16,A,Or probably even baby-sitters would be the same thing.,,,,0
17,B,Exactly.,,,,0
18,B,Exactly.,,,,0
19,B,"Um, I think my, my top priority would be that it would be someone who would be responsible and someone that would actually like children.",,,,0
20,A,"Yes,",,,,0
21,A,I would think someone older,,,,0
22,A,and I would want to know if they've had any past experience with children.,,,,0
23,B,Uh-huh.,,,,0
24,A,Uh-huh.,,,,0
25,B,And I think that varies.,,,,0
26,B,I think a lot of your criteria vary with the age of your child.,,,,0
27,A,"Yes,",,,,0
28,A,that's true also.,,,,0
29,B,"Um, you know, it's, it's, once they get to a certain age it's almost more important that it's someone that can entertain your child as opposed to someone who's, you know, really, really qualified per se.",,,,0
30,A,Uh-huh.,,,,0
31,B,"Um, with a, with a baby, definitely have to be someone who knows how to handle a baby and would know how to respond to an emergency.",,,,0
32,A,Uh-huh.,,,,0
33,B,"So,",,,,0
34,A,"Well, um, I did a lot of baby-sitting when I was younger.",,,,0
35,A,I'm twenty-two now,,,,0
36,A,and I did most of my baby-sitting when I was between the ages of thirteen and sixteen.,,,,0
37,A,"But, um, the only thing people ever asked me,",,,,0
38,A,"well, of course, they knew I came from a family with younger kids,",,,,0
39,A,but they really didn't ask me if I was used to children or not.,,,,0
40,A,The only other thing they asked me is what I would expect in pay.,,,,0
41,B,"Oh, uh-huh,",,,,0
42,B,uh-huh.,,,,0
43,A,"You know, and, um, I was pretty surprised because if I had a child and someone, you know, I would want to know, I personally would ask for people that that person has baby-sit for before.",,,,0
44,B,"Well, I, my experience, I baby-sat a lot also at, when I grew up",off topic start,,Debating A's remarks on people choosing Baby sitters,2
45,B,"and, um, coming from, you know, that background and the background as a parent now, I think the reason that people don't ask a whole lot of questions is a, a lot of times baby-sitters,",,,,2
46,B,"I know I did this with my children,",,,,2
47,B,"it's, you get somebody where you kind of know the family already.",,,,2
48,A,Uh-huh.,,,,2
49,B,And that gives you so much basic knowledge that you don't ask a whole lot of questions.,,,,2
50,A,Uh-huh.,,,,2
51,B,because I had three younger brothers and sisters myself,,,,2
52,B,"so they, they thought, okay,",,,,2
53,B,"she knows how to, how to treat children.",off topic end,,,2
54,A,Yes.,minor topic start,,A's experience of getting to Baby sit,1
55,A,"Well, see when, um, I first got my my first baby-sitting job was pretty strange.",,,,1
56,A,"Um, this lady saw us at church",,,,1
57,A,"and she was a you know, she was a younger lady.",,,,1
58,A,She didn't really know my mom.,,,,1
59,A,She knew my mom by name,,,,1
60,A,and that was it.,,,,1
61,A,"And, um, she knew that I was one of the oldest girls in my family",,,,1
62,A,so she just asked my mom if I could baby-sit.,,,,1
63,B,"Uh-huh,",,,,1
64,B,uh-huh.,,,,1
65,A,"You know, she really didn't know my name or anything, you know,",,,,1
66,A,I thought that was pretty strange.,,,,1
67,A,"You know, and she had two children.",,,,1
68,A,One was still in diapers when I started baby-sitting.,,,,1
69,B,Wow.,,,,1
70,A,"So, um, she pretty much, you know, just assumed that I would know, you know, how to handle them.",,,,1
71,A,"So, I you know, I enjoy kids",,,,1
72,A,and I get along with them very well,,,,1
73,A,so there's no problem.,,,,1
74,A,"But, uh, with today's world and the kids today, uh, there's no way, I can't say that I would just ask someone, you know, that I didn't know like that to baby-sit.",minor topic end,,,1
75,B,"Oh, I agree with you,",off topic start,,B justifying the behaviour of mother who A met at church,2
76,B,"but there again she, you know, she knew, knew of your family,",,,,2
77,A,"Uh-huh,",,,,2
78,A,that's true.,,,,2
79,B,"and she, and she met in a safe setting, such as church.",,,,2
80,A,Uh-huh.,,,,2
81,B,So she was going on those two instincts.,,,,2
82,B,"Just the same I know myself,",,,,2
83,B,"I never,",off topic end,,,2
84,B,and I was very very protective on who baby-sat my children.,,,,0
85,A,"Oh, I would be too",,,,0
86,B,"And, and in it really shocked me",,,,0
87,B,"because just about six months ago someone came to my front door, rang the doorbell.",off topic start,,Experience with a neighbour,2
88,B,She had just moved in the neighborhood.,,,,2
89,B,"She had her daughter with her,",,,,2
90,B,"and the daughter was, oh, about a second grader.",,,,2
91,B,And she was actively looking for people who would baby-sit her child.,,,,2
92,A,"Oh, my.",,,,2
93,B,"And I thought, well she doesn't know me or my children from anything.",,,,2
94,A,Huh-uh.,,,,2
95,B,"And it was, I was almost more reluctant of letting my older children go baby-sit for her because I didn't know her then she was reluctant of letting strangers into her house.",,,,2
96,A,"Uh-huh,",,,,2
97,A,yes.,,,,2
98,A,Uh-huh.,,,,2
99,B,"So, I mean people are so different.",,,,2
100,A,"Oh, I know.",off topic end,,,2
101,A,"Um, well, I I, obviously you've never had to look for a day care or anything.",,,,0
102,B,"Well, I did, I did have, um, my, my child, uh, in a day care for just a short time when my oldest was about two and a half",,,,0
103,A,Uh-huh.,,,,0
104,B,and I worked just a part-time job,minor topic start,,About things in a day care center explored by B,1
105,B,"and, uh, in, in those situations, um, what I did is I'd, I went in",,,,1
106,B,"and, you know, I made a few phone calls,",,,,1
107,B,I went in and visited.,,,,1
108,B,I asked questions such as how they would discipline a child.,,,,1
109,A,Uh-huh.,,,,1
110,B,"Um, that was a concern with me.",,,,1
111,B,"Um, you know, you, you learn a lot by going in there",,,,1
112,B,"and they they explain to you, you know, what their day consists of and what their general rules are,",,,,1
113,B,"and, um, that's, you know, that's as much as I know.",,,,1
114,B,"You probably could get really good feedback from a lot of other working mothers you know, that have done this over and over again.",,,,1
115,A,Uh-huh.,,,,1
116,A,"Well,",minor topic end,,,1
117,B,"But I,",,,,0
118,B,go ahead.,,,,0
119,A,How did you stumble upon the day-care center?,,,,0
120,A,Did you just look it up in a phone book,,,,0
121,A,or what was it?,,,,0
122,B,"Um, I think lots of people, I, I think I went by location for one thing.",,,,0
123,A,Uh-huh.,,,,0
124,B,I think most people do that.,,,,0
125,B,"I think you start out with the criteria of, you know, do I know of anything",,,,0
126,B,or do I know anyone who has their child in a day care,,,,0
127,B,"and,",,,,0
128,A,"Yeah,",,,,0
129,A,"there is , I would say most people would probably go by word of mouth.",,,,0
130,B,Right.,,,,0
131,B,Right.,,,,0
132,B,"And then, you know, I mean, even at that you have to consider the logistics of it.",,,,0
133,A,Uh-huh.,,,,0
134,B,"You know, I mean, you're not going to take your child south of town if you work north. even if that's the best one in the whole wide world",,,,0
135,A,"Yes,",,,,0
136,A,exactly.,,,,0
137,A,Uh-huh.,,,,0
138,B,"So there, there are just so many considerations.",,,,0
139,A,Uh-huh.,,,,0
140,A,"Then again, did, um, money come into play with it at all?",minor topic start,,How budget plays a role in choosing a day care school,1
141,B,"Oh, money is always a factor in my life, definitely.",,,,1
142,B,"I've never, you know, I've never had the luxury of not having that be a factor. Um, even in something as important as day care.",,,,1
143,B,"I know if I didn't have that stipulation, I would have done things differently you know.",,,,1
144,A,Uh-huh.,,,,1
145,B,"Um, Montessori school would be something that I would have pursued,",,,,1
146,B,but that's always a little bit more expensive than what I could look at.,,,,1
147,A,Uh-huh.,,,,1
148,B,"Um, and I was very very fortunate in that I didn't have to do that on a full-time basis.",,,,1
149,A,Yes.,,,,1
150,B,"So, and, and then when you get, you know, when you get into the full-time basis day care,.",minor topic start,major topic end,,1
