,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Okay,",opening,,,0
1,A,there we go.,,,,0
2,B,"Okay,",,,,0
3,B,great.,,,,0
4,A,"So, do you play golf at all?",,,,0
5,B,"Yeah,",,,,0
6,B,"I do,",,,,0
7,B,I'm a player.,opening,,,0
8,B,"I'm kind of embarrassed I'm talking to a man, cause I'm sure that you are, you play a lot more than I do.",major topic start,,Conversion regarding playing golf starts,0
9,A,"Actually, I don't.",,,,0
10,B,"Oh, really.",,,,0
11,A,"No,",,,,0
12,A,"uh, I, uh, when I was younger, I played a little bit",,,,0
13,A,"and I was horrible,",,,,0
14,A,so I just stopped playing.,,,,0
15,B,"Oh, well, my husband is, is a very good golfer.",,,,0
16,B,"He has got, like a six handicap.",,,,0
17,A,"Wow,",,,,0
18,A,that is real good.,,,,0
19,B,"So, uh,",,,,0
20,B,and he has been playing since we have been married for twenty two years.,,,,0
21,B,"So, I had to start playing because, he was, you know, such an avid golfer.",,,,0
22,B,"So, I have been playing now,",,,,0
23,B,"well I have had clubs for twenty years, you know.",,,,0
24,A,"Wow,",,,,0
25,A,"so you have been playing,",,,,0
26,B,"But, but, I really enjoy it.",,,,0
27,B,"So, I had to check that and, and, uh, talk about it.",,,,0
28,B,"Well, have you played recently?",,,,0
29,A,"No,",,,,0
30,A,"actually, I don't even know if I checked that or not, to be perfectly honest. Um",,,,0
31,B,Oh,,,,0
32,A,"That seems to have been a mistake,",,,,0
33,A,I don't know. Um.,,,,0
34,B,"Oh, that's okay.",,,,0
35,A,"Yeah,",,,,0
36,A,I have not played in a long time.,,,,0
37,A,"Um, when I was,",minor topic start,,A tells about his past in golf,1
38,A,"about five or six years ago, my dad , who plays every now and then took me out with him",,,,1
39,A,"and, and I basically, um, I had a horrible slice or hook,",,,,1
40,A,I forget which one it was.,,,,1
41,B,Yeah.,,,,1
42,A,"It wound up tossing the ball into the trees, virtually every time.",,,,1
43,B,Yeah.,,,,1
44,B,"Yeah,",,,,1
45,B,the slice goes to the right,,,,1
46,B,"and the hook goes to the left,",,,,1
47,B,I think.,,,,1
48,A,"Yes,",,,,1
49,A,"I was slicing, actually.",,,,1
50,B,Yeah.,,,,1
51,A,"And, as it turns out, uh, I went and took some lessons for awhile, because I just, I would lose so many balls, and, uh, make it a horrible time for everybody.",,,,1
52,B,Yeah.,,,,1
53,B,Yeah.,,,,1
54,A,"I went and took some lessons,",,,,1
55,A,"and a I got a little bit better,",,,,1
56,A,"but I but then I sort of, you know, went, went back to school and did not have time and this and that,",,,,1
57,A,"and, and the only thing I do now is I occasionally go out to a driving range and hit a couple of balls and see what I can do.",,,,1
58,A,"And I, And I still have this slice ,",,,,1
59,B,"Yeah,",,,,1
60,B,I think that's really a good thing to do.,minor topic end,,,1
61,B,"So, where, are you in your life,",off topic start,,Information regarding college of A,2
62,B,"I mean, are you in school?",,,,2
63,A,"I'm a graduate student,",,,,2
