Story,Section
"All right, uh, well,",0
"let's see,",0
How old are you Lisa?,0
I'm twenty.,0
Okay.,0
How old are you?,0
I'm older.,0
Older,0
Older than you are.,0
Okay.,0
"Okay,",0
we are supposed to talk about places we like to go.,0
"So I'm going,",0
"and where are you from, where are you calling from?",0
"I'm calling from, uh, Provo, Utah,",0
"but I'm from Plano, Texas.",0
"Oh, you are from Plano.",0
My sister lives in Plano.,0
"Oh, really?",0
"Yes,",0
"her husband is the new Director of Admissions at, uh, University of Texas at Dallas.",0
"Oh, wow.",0
"Yeah,",0
"so,",0
"Anyway, so, where's your favorite place to go?",1
My grandparents live there.,1
That's generally our usual summer vacation.,1
Where in Arizona?,1
"Uh, Tempe.",1
"Okay,",1
I've never been to Tempe.,1
"So,",1
That's where I'd like to go.,1
What do you like about Tempe?,1
"Uh, mainly just being with family is it.",1
We just hang out,1
and my grandparents have a pool,1
so we go swimming,1
"and, uh,",1
"Pretty hot isn't it, in the summer?",1
Yeah,1
but we keep cool just by going swimming,1
and it's fun to be with my cousins.,1
"They're up there also, my grandparents and my cousins.",1
That's good.,1
Uh-huh.,1
"So,",1
Been to Hawaii?,1
"No,",1
have you?,1
"Yes,",1
"in fact, I just got some reservations.",1
"I'm going to go for, uh, almost two weeks this winter.",1
"Oh, my goodness.",1
Yes.,1
"It's the longest,",1
"well actually I lived there,",1
"so I was there longer,",1
"but two weeks is the longest vacation I'll have ever taken there,",1
so I'm kind of looking forward to that one.,1
Wow.,1
Around Christmas time?,1
"Uh, no,",1
in March.,1
Oh.,1
We're going to go in March after my children's birthdays and get all that business out of the way.,1
Wow.,1
"Yeah,",0
"so I think, I would like to go to Arizona.",0
"I mean, I was in Phoenix in January, last January",0
but it was rainy and icky.,0
"Oh, really?",0
It was the coldest it's been there ever in January,0
I think. It's very cold.,0
"So, do you travel a lot",0
"But, I would like to go to Tempe.",0
"or,",0
Do we travel a lot?,0
"Uh, some, yeah.",0
"Well, I've been a, I was a travel agent.",0
Oh.,0
"I mean, I have been up until just a few months ago.",0
But I'm thinking of going back to work,0
Huh.,0
Yeah.,0
"So you know a lot of good vacation spots, huh.",1
I I know a lot of good places to go.,1
But you definitely need to go to Hawaii.,1
Very definitely.,1
That's your favorite?,1
"Yes,",1
it is my favorite.,1
My husband hasn't been to Europe yet,1
and I'd like to take him there.,1
"And, but he's traveled all over the United States",1
and I haven't.,1
"Like, I haven't been down south.",1
I'd like to go to New Orleans.,1
Have you been there?,1
I haven't.,1
"Where, where do you live?",0
"We, I live in Yakima, Washington.",0
Wow.,0
So it's cold and rainy today.,0
It's yucky.,0
Um.,0
But we've had some pretty nice weather.,0
"We played tennis outdoors until last week,",0
so that's a pretty good deal.,0
Um.,0
"So do you go to school in Provo, Utah?",0
I do.,0
Do you use NuSkin skin care.,1
They're located in Provo.,1
I work for NuSkin,1
Do you?,1
Yes.,1
I'm a NuSkin person.,1
"Oh, really?",1
"Yeah,",1
"I sell NuSkin, too.",1
"I, I am my only",1
"Oh, my goodness.",1
and best,1
not only and best,1
but I'm my best customer.,1
Great,1
"Since we're not supposed to talk about this, though, is there anything more intensive for the eye area than the eye cream?",1
"Uh,",1
Do you know?,1
"I don't,",1
"probably, maybe the rejuvenating cream is the only other thing I would use.",1
"I have that, too.",1
"I'm forty-two,",1
"I need something,",1
I need more.,1
Than the intensive eye?,1
Yeah.,1
I didn't know if there was anything else.,1
And I use the Celltrex.,1
Uh-huh.,1
"But anyway,",1
"well, yes,",1
NuSkin is wonderful.,1
"Good,",1
yes.,1
I think it's a wonderful product.,1
Do you use it?,1
"I do,",1
"yeah,",1
we get free products every month,1
"so,",1
"Oh, my gosh.",1
That's great.,1
"Right, right",1
"now I'm getting about sixty bucks a month, free products",1
"so,",1
"Yeah,",1
"oh, yeah.",1
I've worked there about a year.,1
That's good.,1
Are they good to work for?,1
"Yes,",1
they're wonderful to work for.,1
That's great.,1
Yep,1
"Anyway, so we're supposed to be talking about places to go",0
and you have not been to Europe.,0
Do you go to school?,0
Uh-huh.,0
Do you ski?,0
"I ski, yes.",0
"I've,",0
"Ski,",0
you probably ski very well in Utah.,0
"No,",0
I don't,0
"Actually since I grew up in Texas I've only been here about two years and have gone skiing about three times. well, five times each season.",0
Uh.,0
Why did you move to Utah?,0
"You're going, oh, you are going to school? At B Y U,",1
"Yeah,",1
"I,",1
is that where B Y U is?,1
Uh-huh.,1
Yep.,1
"Okay,",1
I know some people that went to B Y U.,1
That's great.,1
Pretty good.,1
I do like to ski.,1
"Pretty, pretty down there. Huh?",1
"Yeah,",1
"I, I said I do like to ski.",1
"So, where, have you skied?",1
"And it's, it's kind of nice being up here just because it's all like a vacation in itself when you get to go.",1
Sure.,1
If you like that kind of thing,1
"Sure,",1
so you're a sophomore. Or junior?,1
I am actually a junior. Beginning of my junior year.,1
You're a junior.,1
Good for you.,1
"So,",1
What are you studying?,1
Nursing.,1
Good for you.,1
You sound like a girl that has it together.,1
"I would just encourage you to do a little traveling, though, before you get married.",1
"Because when you get married, you won't have the money or the time.",1
"You think,",0
I know.,0
"So just, you know,",0
"don't, don't be in any hurry.",0
"I'm not, I'm not.",0
You really should go to Europe.,0
I went to Europe for six weeks after I graduated from college,1
"and that was just,",1
"I, I mean I could have had that or a down payment on a new car",1
and I took the trip.,1
And,1
And it was great?,1
"uh, I traveled with a group of sixteen other students.",1
"Actually they, there was two other graduating seniors besides myself,",1
and we just had a ball.,1
"We stayed at,",1
How long did you get to stay there?,1
"Uh, six weeks.",1
"Oh, really?",1
Yeah.,1
"It was wonderful,",1
so you should think about doing something like that.,1
"Uh-huh,",0
I just had a friend that got back from Europe,0
and she was there like all winter semester.,0
"Okay,",0
you want to start?,0
"Yeah,",0
I might as well.,0
"Uh, one of the things I'm very concerned about the air pollution, is the, uh, this, this, the ozone layer, uh, uh, issue.",0
"Uh, I used to own a heating and air conditioning business and handled lots of different types of freons,",0
"and that, uh, rather bothers me that, uh, I was in, in effect, uh, contributing to the delinquency of the, the environment, so to speak.",0
Uh-huh.,0
"Yeah,",0
that's stuff we never even thought about three years ago.,0
"Right,",0
"right,",0
"and one of the reasons they fixed up the freons eleven, twelve and thirteen, in, in, in that area was because they were inexpensive,",0
"uh, they could be made, uh, you know, inexpensive and lots of it, uh,",0
