Name,Topic
3518.csv,Brian thanks total banner no handguns mail control crazies people guns address assault books purchase guns waiting period semiautomatic twenty two rifles guns guns criminals rules handguns shoot people
4051.csv,three years car street truck bus dark smoke pollutants cars
3041.csv,movies list list disturbing movie switcheroo shoe school not shopping malls list scandalous trash
3570.csv,Howard budget keep exploring halt office tracked monitor space station money universe knows nations experiments space Russia threat Fort Worth Soviet space exhibit
4048.csv,times drug employment random drug testing alcohol alcohol marijuana cocaine work oil business office automotive industry cars explosives environment explosives features explosives dangerous policy not
3009.csv,no nine younger brothers sisters center babysitters children babysitting twenty two now babysitting thirteen sixteen people family kids children child people first first babysitting church younger lady mom
3317.csv,house swimming pool twenty seven hundred square foot four bedrooms alike house twelve half years prebuilt specifications three car garage
3310.csv,home care parents sooner mother mother nursing homes six weeks hardest life devastating nursing homes no two between mother mother-in-law fifteen hundred discovered hours care mother-in-law first hours times mother-in-law not care mother not nursing homes mother floors
3064.csv,credit cards credit cards gasoline credit card department store credit cards dozen pair hose quick biggies Visa MasterCard Discover airline tickets transaction telephone card machine financial family crisis not options cards
2663.csv,not not not Democrat Republican kick Schwartzkopf politics generals general politics hero hero magazine staff corporate presidents training educated corporate president person education corporate president Army war training industry generals service Schwartzkopf politician Governor dogs boss course no politics Democratic Republican eight ten years max not limitation President
2621.csv,women knowledgeable pro football team Steelers Cowboys games past nearly Bradshaw Dallas Fort Worth horse farm town called Roanoke Texas Dallas scene management coaching motivator primarily quarterbacks Dallas Houston Super Bowl Houston talent earlier super teams Randall Cunningham Philadelphia team quarterbacks Steelers super team super team years four Super Bowls four row not
3908.csv,Allen American women generations honor accept responsibilities jobs responsibility men salaries significant general switch woman working responsibility husband relationship lady household marriages potential generation specifically
3344.csv,East affair Mideast talks exception hostages domestic problems Soviet Union Reagan international budget deficit international aspects international relations billions dollars debts country debts conservative Independent Congress senators Democratic issue Republican issue conscience constituents government
2072.csv,hobbies spare crafts dolls hats flowers roses satisfaction not not keyboards treadmill bicycle twenty minutes
2040.csv,statehood independence Puerto Rico experience state concern Puerto Rico living income climate heating housing northern territories however status quo Puerto Rico Corps training student California Spanish Puerto Rico never favors not US copes life Lebanon press adult state poor aid inner cities New York country never
2039.csv,public television English comedies English mysteries vociferously United States access television news performances no no no Turner Broadcasting James Bond movies James Bond movies Live Die moment Roger Moore no no movies movies Sean Connery maintained
3993.csv,painting class four years projects boutique projects projects coat first
2672.csv,central location main highway bins newspaper plastic bins glass combination container aluminum Rowlett sent sent survey not trash organized initiate months cafeteria no machine cafeteria coffee tea no not not
2604.csv,public service tries not mandatory mandatory not poor people sons pot holes
4037.csv,Indiana death penalty views honest undergraduate member Amnesty International stupid argument downtown Dallas news person person street murder capital punishment crime two murders chosen importers society
2652.csv,Dallas summertime shorts day suits shorts suits
3327.csv,car blessings car complicated never mechanically inclined points brakes alternator loose
3584.csv,home high lost house window trailer envision insulation builder five years college college educated builder no summer credit credit cards materials money home money house money banks house bag
3364.csv,Saint Elsewhere Thirty daughter fourteen two children forty kids sports Sunday nights Life Goes On Sunday Becca likes AIDS North Carolina seven twenty minutes six never entire life bowl bowl daughter General Hospital teenager
3036.csv,music country music Texas not Georgia Chicago category classics music sake era rock forty music rich Beethoven Bach classic current not music country music perspective country music girl guitar
2602.csv,instability country decisions people
2631.csv,schools kids married children difficulties wife not children under four five professor flexible hours two three days two evenings wife possibility two days night flexible schedules Saturdays brother wife priority home sister-in-law clinical speech pathologist position position two years four years years Kayla three three years four year two two three position home woman continue kids school professionals unlike married five years younger twenty seven married bachelors masters practice
3514.csv,vacations places Paris France friend April family lives grandmother lives exciting place New Mexico Tahiti Tahiti Haiti Europe farm
3065.csv,seventies point push encourage liter bottles gallons car kilometers hundred kilometers loss incentive program switch older people pardon expression complain cranky generation elementary school two generations metric system not conversion card kids people generations switch pain neck reasonable system
3359.csv,near dear heart healthy eater not particular food Italian restaurant restaurant Rome New York restaurants upstate New York mile eleven dollars potato salad soup nine yards street Dallas seafood oysters officer Air Force business Melbourne Florida month two months bars crabs oceans greatest resource food planet harvest
2648.csv,Earth Day pollutants pollutants air channel thirteen programs not programs environment Earth population increases cars cars population industry pollution incredible not pollutants air Pillsbury plant town adjacent chemicals toxic chemicals dough flour runs inspectors normal basis not dumping Pillsbury plant plants flours radioactive toxic classified Earth research refining not not
3050.csv,cause husband golfer six handicap twenty two years playing avid golfer clubs twenty years recently hook school University Rochester length playing woman par three course driver driver three iron control
4019.csv,Chuck pets home cat two years sassy tabby disposition Siamese cat girl reason two years neutered declawed scratch bites times possessive cat son cat son dog son shower wants bathroom animal pound times girl daughter not son cat not
3500.csv,doctors lawyers whatnot national health insurance money money state Texas health insurance students doctors doctors doctors doctor premiums doctors no people sue lawyers sue ten thousand doctor reasonableness foundation tort tort tort OBGYN doctor cannot control hundred percent baby happens complications slobs people
2078.csv,Sharon Nolan Ryan baseball million dollars football players football games beats Yankees years earlier list baseball teams cities cleaning played baseball Rangers billboards
3028.csv,announce restaurant dining not price kitchen Dallas
3379.csv,Soviet Union United States struggle within Soviet Union people independence Gorbachev Communist KGB Soviet people CIA minds cold countries KGB CIA economic Soviet Union fast people winter country concerning themselves home
