Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Okay.,opening,,
A,What do you think of the public school system?,major topic start,,public school systems
A,"First off, do you have children that are in it?",,,
B,I have children that are in the Plano Public School systems,,,
B,"and I am a substitute teacher at this point looking for a full-time job in the public school,  system",,,
A,"Oh, okay",,,
B,"So,",,,
A,"Well then, you should be a good one to know because I, my children are grown now.",,,
A,"I now have grandchildren,  in the  school system",,,
B,Oh.,,,
A,"so, uh, I don't have firsthand experience right now,  with it.",,,
B,"Uh-huh,",,,
B,uh-huh.,,,
A,So what do you think?,,,
B,"Well, I think the public school systems are doing a good job.",,,
B,I think they have a long way to go yet,,,
B,"but I think that, um, they are starting to head towards more technology and getting the kids computer literate earlier.",,,
B,"You know, my kindergartners were on the, were on the computers,",,,
B,and I think that with the way the world is today that's got to be done.,,,
B,"And I think that, uh, the schools now are starting to teach thinking strategies more than just giving them, you know, skills.",,,
A,Right.,,,
B,you figure out why you're adding it and what you're going to do with it once you've got it together.,,,
B,"And I think that that's something that is drastically needed because most of these kids cannot think,",,,
B,they literally cannot come in out of the rain.,,,
A,That's right,,,
B,"You know, and that just,",,,
B,I don't care how intelligent you are if you be cannot make it function for you that intelligence is being wasted.,,,
A,Right.,,,
B,"And, uh,  this has been one of my pet peeves and probably why I went into education.",,,
B,"So I think, you know, they're, they're trying to head them into teaching them to think and use the education that they have,",,,
B,"and I think that's very, very important.",,,
A,"Yes,",,,
A,it is.,,,
A,"I, I agree with you that they're starting children so much earlier on things because our grandchildren,",minor topic start,,changes in system
A,"we have a, uh, fourth grader",,,
A,and then we have one that's in kindergarten,,,
A,"and, and I know the fourth grader is doing stuff that our children was doing, were doing in the fifth and sixth grade.",,,
B,"Oh, yeah.",,,
B,"Oh, yeah.",,,
B,I tutor a girl that's in eighth grade,,,
B,"and her pre-algebra book is higher then some of my Algebra Two, when I was in high school.",,,
A,Is that scary?,,,
B,"And it's like, oh, I going to take this home and study it  before I can help you.",,,
A,Right.,,,
B,"You know,  so they're really, they're really moving them along",,,
B,"but yet, at the same time, you know, they are stopping and making them use it and function with it like they would need to do in everyday life.",minor topic end,,
A,"Now,",,,
B,"And  that's you know,",,,
B,a lot of the things that we did in school I've never used and never will use.,,,
A,Yes.,,,
B,"And, uh, so I think that it's, it's appropriate to teach them, you know, why they are learning this not just because the teacher says you have to learn this.",,,
A,Correct.,,,
A,"Are you finding that, uh, since you're doing substitute, that you're wanting to do full-time?",minor topic start,,talking about full time teachers duties
A,"Um, I have a friend that's a teacher that one of her complaints is she can't teach because she's so busy filling out all the forms.",,,
B,"Yes,",,,
B,"that's a,",,,
A,"And, and",,,
A,"are you, do you find that?",,,
B,"Well, filling out the forms and also all of these, uh, statewide and national wide testing,  things  so that they compare",,,
A,Uh-huh.,,,
B,"and . You know, you can as far as I'm concerned you can make a survey or test scores say anything you want it to say.",,,
A,Uh-huh.,,,
B,And it's just a matter of how you're going to interpret it.,,,
B,"And you waste so much time quote, unquote teaching to the test to make sure that your scores are the very best they're possibly going to be,  you know,  that I think it's, uh, I think it's crazy personally",,,
A,"Be,",,,
A,uh-huh.,,,
B,"You know, the the whole first nine weeks of school is, is used as a review",,,
B,"but more than a review they're getting those kids primed and ready for the tests that are coming up in,  October.  So that you know, your school district shines throughout the United States.",minor topic end,,
A,"Coming up,",,,
A,uh-huh.,,,
B,And I think that's totally useless.,,,
B,"I think, you know, there's a place and a time for all of the tests and comparisons",,,
B,but I think they've taken it to the extent now that it's just ridiculous.,,,
B,It's like bragging on your grandchildren.,,,
A,Right,,,
B,"You know, and everybody's kids are the best kids that have ever hit this earth",,,
B,"and nobody else's children are going to ever live up to this,",,,
B,and that's great.,,,
B,But that's what they're doing with the school systems,,,
B,"and they're wasting too much time on that,  I think.",,,
A,"Well, I,  I know that this again this, this friend, uh, is in the Plano School District,",,,
B,Uh-huh.,,,
A,"and  she teaches, uh, uh, it uh, emotionally disturbed children.",,,
B,Uh-huh.,,,
A,"And she says  she has, um, six graders in there that are reading on the level of the second grade.",,,
B,Yes.,,,
A,But because evidently you receive a certain amount of money when they're passed on or something.,,,
A,I didn't quite understand it.,,,
B,"Yeah,",,,
B,"there's a,",,,
B,yeah.,,,
A,"And, uh,",,,
B,"The bottom  line is always money,",major topic end,,
