Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,What kind of painting are you planning to do?,,,
B,Well I have wallpaper in both of my bathrooms right now which is really pretty disgusting.,,,
A,Uh-huh.,,,
B,"And, um, it's a rent house",,,
B,and I decided it's too expensive to rewallpaper,,,
B,so I decided I'm going to paint.,,,
A,Uh-huh.,,,
B,And I've been buying some magazines and stuff and looking at different ways to paint.,,,
B,And I'm thinking about maybe sponge painting them. Either that or maybe rag rolling. To give it kind of a country look.,,,
A,"Oh, what would be interesting.",,,
A,Uh-huh.,,,
A,"Yeah,",,,
A,"I've never done any of those fancy kinds of paint treatments,",,,
A,but they look very interesting,,,
A,and you get some beautiful effects with them.,,,
B,Yeah.,,,
B,"Uh, one of the books that I bought, where it's describing the sponge painting, said you can like layer different colors",,,
B,"and,",,,
A,"Yes,",,,
A,"yeah,",,,
A,"I've seen that done, where there's uh, oh,",,,
A,I saw one that was kind on an ecru undercoat,,,
A,"and then it had, a little bit darker sort of peachy color,",,,
B,Uh-huh.,,,
A,"and in between there was a sort of a rust, uh, put on very sparingly.",,,
B,Ugh.,,,
A,And it gave the impression of very old weathered stucco.,,,
B,Yeah.,,,
B,"Um, what I, what I'm trying to do is I've got yellow tile in both the bathrooms",,,
A,Uh-huh.,,,
B,so I want something that's going to tie that together,,,
B,"and I'm changing the, like the towel racks and stuff, the, the fixtures out to make them wood,",,,
B,I'm going to put wood in there.,,,
A,"Oh, yeah,",,,
A,that should be nice.,,,
B,So it's going to have kind of a country look.,,,
A,Uh-huh.,,,
B,"Um, and I haven't even decided as far as, um, what kind of paint to buy.",,,
B,I don't have an actual instruction book,,,
B,so I'm really in kind of the beginning stages right now.,,,
A,"Well, uh.",,,
B,"Um, it's going to be a big experiment.",,,
A,"Yeah,",,,
A,"I was about to say, you ought to experiment on at least a small part of it before you just tackle the whole thing",,,
B,Yeah.,,,
A,"Because you might find that it's beyond, uh, what you're willing to put into it. Although I think it could turn out really nice.",,,
B,"Yeah,",,,
B,yeah.,,,
B,"Yeah,",,,
B,"I've,",,,
A,I haven't ever done fancy painting,,,
A,but I sure did my share of just regular painting.,,,
A,"Uh, I've painted several houses, inside.",,,
A,"I, never painted the outside.",,,
B,"Uh-huh,",,,
B,inside.,,,
B,"What, what kind of, what kind of paint do you normally use?",,,
A,"Well, uh, we used a latex, uh, wall paint and then a semigloss enamel for the woodwork",,,
A,and my job was mostly the woodwork.,,,
B,"Okay,",,,
B,uh-huh.,,,
A,My husband would paint the walls and ceilings with the rollers,,,
A,"and I got to do all of the masking tape and then all of the little fine, uh, trim work, where I'd use a small brush and, uh, try to keep the paint from dripping on the windows and things like that",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
B,Well we only have only one of our bathroom has a window in it,,,
B,"so I'm hoping that, um, it won't be too much of a, a problem.",,,
A,Uh-huh.,,,
B,"Um, I'm wondering if my bigger problem is getting the wallpaper taken down first. Because I, I think,",,,
A,Well I was going to ask if you planned to paint over it or try to strip it.,,,
B,"No,",,,
B,"I'm, I'm planning on taking it off.",,,
A,"I have heard that they've got these steamers you can rent now, which make it much easier to get wallpaper off.",,,
B,Um.,,,
A,"Um, I tried to get wallpaper off once twenty years ago, oh, with a just a scraper and wet sponge",,,
A,and it took forever.,,,
A,I would not recommend that method.,,,
B,Okay.,,,
A,"Uh, if if you can rent a steamer, if it's modern wallpaper it should come off without too much trouble.",,,
B,"Well that's something that, that's worthwhile checking into then. 'Cause I,",,,
A,"If it's really old, you don't know what it's put on with.",,,
B,"It, it's hard to tell,",,,
B,"it's,",,,
B,the patterns look like they're nineteen sixties style.,,,
A,Yeah.,,,
B,"And I know the house, um, was built around the mid fifties.",,,
A,Uh-huh.,,,
B,So it may be the original wallpaper,,,
A,"Could be,",,,
A,yeah.,,,
A,"Um, if it's vinyl it should be easier to strip too.",,,
A,If it's paper it will probably shred.,,,
B,"Um, in one bathroom it's, um, it's probably paper, uh,",,,
B,"it's silver, silver and yellow, and white.",,,
A,"Um, uh-huh",,,
A,"Well the wallpaper that I was trying to remove was black,",,,
A,this was in a bathroom too.,,,
