Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Tell me what you like to do.,major topic start,,Theme of the conversation is A's interests and kids
B,"Well, I, I collect antique tools, uh, for one thing, I well, I'm sort of in an antique business,",,,
B,"but it's a little sideline, part time thing.",,,
A,Oh.,,,
A,"Uh-huh,",,,
A,wonderful.,,,
B,"And, uh, I'm building a, a log house at a farm that I have in East Texas, which is a hundred miles from here.",minor topic start,,A talks about a house she's building
A,Oh.,,,
A,Wonderful.,,,
B,"Yeah,",,,
B,it's really neat.,,,
B,"And, uh, uh, course I've been working on it for five years,",,,
B,"but, you know,",,,
A,"Oh, but how wonderful.",,,
A,Are you close to getting it done?,,,
B,"Yeah,",,,
B,"yeah,",,,
B,it's getting real close to,,,
A,Oh.,,,
B,"you know, of course there's still a lot of work to be done,",,,
B,"and then when you get it completely, you know, the shell finished, uh, you still have a lot of stuff to do inside,",,,
B,"but, uh,",,,
A,Are you going to move your whole family over there then?,,,
B,"No,",,,
B,"actually, uh, I'm not even sure,",minor topic end,,
B,"I may,",,,
B,I'll probably always have a place here in Richardson or Dallas,off topic start,,A talks about having a holiday home
A,"Uh-huh,",,,
A,kind of your getaway place.,,,
B,"Yeah,",,,
B,escape.,,,
B,"But it's beautiful,",,,
B,"it's, you know, it's Eastern Hardwood, uh, forest,",,,
B,"there are a lot of pine trees,",,,
B,but it's mostly oaks,,,
B,and .,,,
A,"Oh, how beautiful,",,,
A,and it's pretty flat there?,,,
B,"Well, it's kind of, hilly,",,,
B,"but, it's, you know, low hills,",,,
B,"it's not, uh,",,,
A,"See, I've only been to Texas once.",,,
A,"I have two sisters in Texas now, um, one in Austin, one in Dallas,",,,
A,and the one in Dallas is the one that got me to doing this,,,
B,Yeah.,,,
A,"and, uh, I thought Austin was beautiful",,,
B,"You,",,,
A,"I liked the hills and the trees,",off topic end,,
B,"Yeah,",,,
B,in,,,
B,"Yeah,",,,
B,"it's really different because that's kind of the, you know, that's the chalk hills down there,  limestone hills,",,,
A,"Oh, and you've always,  lived in Texas, have you?",off topic start,,B talks about being a Texan
B,"Yeah,",,,
B,except for time in service.,,,
A,Uh-huh.,,,
A,"Born and raised Texan, huh.",,,
B,"Yeah. At, at which one?",off topic end,,
A,"Well, I had never been there,",,,
A,that's pretty neat.,,,
A,My sisters both seem to like it pretty well.,minor topic start,,A talks of her siblings
A,"My brother-in-law works for the University, um, in Dallas.",,,
A,He's admissions director.,,,
A,Uh. University of Texas in Dallas.,,,
B,"Oh, okay",,,
A,Yeah.,,,
B,it's just north of me here.,,,
A,"Yeah,",,,
A,"well that's, he's got a job there",,,
A,"and this is his first year,",,,
A,"so, it's been a real interesting thing for them",,,
B,That's great.,,,
A,But they seem to like it okay.,,,
A,"I think they're too far away from me,",,,
A,"but maybe some day they can get closer,",minor topic end,,
B,"Well, yeah,",,,
A,we'll see.,,,
B,Pretty good trip.,,,
B,"So what do you, what kind of hobbies are you in?",,,
A,"Well, I'm mother of four,",,,
A,"so basically I'm just, real busy with my kids right now in sports,",,,
A,"and we have a little Halloween talent show tonight,",,,
A,"and, I substitute at the schools part-time.",,,
B,"Oh, that's great.",,,
A,"Well, I am a travel agent at heart,",,,
A,"and my hobby is just,",,,
A,"I love traveling and, and being involved of that and finding out more, uh,",,,
A,"but, it's real hard to work in the summers and holidays and weekends when you have four children and a husband,",,,
A,"so I reluctantly gave that career up and am just substituting at the school,",,,
B,"No, kidding.",,,
A,"so I've been librarian all this week, which has been real interesting,",,,
A,and I'm enjoying it.,,,
A,I'm around my kids,,,
B,That's pretty easy substituting isn't it?,,,
A,"yeah,",,,
A,"it's great,",,,
A,"it's great,",,,
A,"and what else do I do,",,,
A,I do lots of cross stitching when I have time,,,
B,Ooh.,,,
A,"and I enter things in our little state fair,",,,
A,and that's pretty fun.,,,
B,That's great.,,,
A,"Well, but, actually my hobbies is mostly is my sports. Tennis,",,,
A,I play tennis.,,,
B,"Ooh, I love tennis too",,,
A,"Ooh,",,,
A,do you?,,,
