,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"All right, uh, well,",Opening,,,0
1,A,"let's see,",,,,0
2,B,How old are you Lisa?,Major Topic Start,,Talking about introductions,0
3,A,I'm twenty.,,,,0
4,B,Okay.,,,,0
5,A,How old are you?,,,,0
6,B,I'm older.,,,,0
7,A,Older,,,,0
8,B,Older than you are.,,,,0
9,A,Okay.,,,,0
10,B,"Okay,",,,,0
11,B,we are supposed to talk about places we like to go.,,,,0
12,B,"So I'm going,",,,,0
13,B,"and where are you from, where are you calling from?",,,,0
14,A,"I'm calling from, uh, Provo, Utah,",,,,0
15,A,"but I'm from Plano, Texas.",,,,0
16,B,"Oh, you are from Plano.",,,,0
17,B,My sister lives in Plano.,,,,0
18,A,"Oh, really?",,,,0
19,B,"Yes,",,,,0
20,B,"her husband is the new Director of Admissions at, uh, University of Texas at Dallas.",,,,0
21,A,"Oh, wow.",,,,0
22,B,"Yeah,",,,,0
23,B,"so,",,,,0
24,B,"Anyway, so, where's your favorite place to go?",Minor Topic Start,,Talking about vacation house,1
25,A,My grandparents live there.,,,,1
26,A,That's generally our usual summer vacation.,,,,1
27,B,Where in Arizona?,,,,1
28,A,"Uh, Tempe.",,,,1
29,B,"Okay,",,,,1
30,B,I've never been to Tempe.,,,,1
31,A,"So,",,,,1
32,B,That's where I'd like to go.,,,,1
33,B,What do you like about Tempe?,,,,1
34,A,"Uh, mainly just being with family is it.",,,,1
35,A,We just hang out,,,,1
36,A,and my grandparents have a pool,,,,1
37,A,so we go swimming,,,,1
38,A,"and, uh,",,,,1
39,B,"Pretty hot isn't it, in the summer?",,,,1
40,A,Yeah,,,,1
41,A,but we keep cool just by going swimming,,,,1
42,A,and it's fun to be with my cousins.,,,,1
43,A,"They're up there also, my grandparents and my cousins.",,,,1
44,B,That's good.,,,,1
45,B,Uh-huh.,,,,1
46,A,"So,",,,,1
47,B,Been to Hawaii?,,,,1
48,A,"No,",,,,1
49,A,have you?,,,,1
50,B,"Yes,",,,,1
51,B,"in fact, I just got some reservations.",,,,1
52,B,"I'm going to go for, uh, almost two weeks this winter.",,,,1
