Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"I just pressed my, uh.",,,
B,We're supposed to talk about recent political developments.,major topic start,,person starts talking about recent politics
A,"I got one that's interesting, not too, not too controversial,",,,
A,"I,",,,
A,"you know, not,",,,
A,doesn't matter whether you're Democrat or Republican.,,,
A,"I, I do get somewhat of a kick out of,",minor topic start,,person starts talking about Schwartzkopf
A,"because Schwartzkopf, or the other generals, who I admire, how everyone wants to make, get them in politics.",,,
A,"I think that's kind of an interesting recent thing, that I could think of recently that, uh,",,,
B,Uh-huh.,,,
A,"I was wondering what you thought about that making the general, uh, getting a general into politics.",,,
B,Yeah.,,,
B,"They want him because he's popular, not because he can do the job.",,,
A,Right.,,,
A,"Well, I've, I've been thinking about it,",,,
A,"and I, uh, I kind of get a kick out of they always want the hero,",,,
A,"those,",,,
A,we're looking for a hero.,minor topic end,,
A,"Well, TIME magazine was saying that in essence the general's staff was comparing to corporate presidents,",off topic start,,person talks about TIME magazines opinion on the General
A,"and they said in general, generals are more familiar with training, that they believe in training more.",,,
B,Uh-huh.,,,
A,"They are much more educated than the average corporate president,",,,
A,"and so they really were very positive on a general's staff person having a, a very much better education than the average, uh, corporate president.",,,
A,"So, I thought well, maybe.",,,
B,"I, I think they probably have a better education than the average congressman.",,,
A,"Well, that, too,",,,
A,"that, too.",,,
A,"And, uh, you know, they talk about the Army",,,
A,and because of the war,,,
A,"and why did we win, and all that,",,,
A,and they talked about how the training was so important.,,,
A,"And that's so important in industry,",,,
A,"so, you know, they're liable to be right. That generals, generals in the service,",off topic end,,
A,"and Schwartzkopf, uh, you know, might make a good, uh, politician, whether it be Governor or whatever, you know.",,,
B,"He, he, you know, we know he's a good leader,",,,
B,we know he's a good organizer.,,,
B,"The question is, you know, can he be the man who's ultimately responsible.",,,
B,"You know, like what he said is, you know, a lot of times in his interviews he was talking about, you know, people asking why are you doing this, why are you doing that.",off topic start,,person talks about the Generals interviews and answers
B,"He says, I'm following the orders of my president.",,,
B,I'm not the one who writes the orders.,,,
B,I'm just the one who follows them.,,,
A,"Yeah,",,,
A,"it's interesting how they say that when they're usually the top dogs, you know,",,,
A,"everyone has a boss, of course.",,,
B,"You know, Schwartzkopf was ordered to get Iraq out of Kuwait.",,,
A,Yeah.,,,
B,"And so he went to the President and said, okay, here's how I want to do it.",,,
B,But he wasn't the one that decided Iraq needed to get out of Kuwait.,,,
A,"No,",,,
A,"that's true,",,,
A,that's true.,off topic end,,
B,Uh-huh.,,,
A,"Uh, you, you pick one.",,,
A,"I just thought of that one when, when they brought up about politics.",,,
A,"That was, uh, pretty easy",,,
B,Yeah.,,,
A,"you don't have to pick Democratic or Republican,",,,
A,"you can pick anything you want,",,,
A,go ahead.,,,
B,"Well, the thing that I'm wondering about is how we get a new congress.",off topic start,,person starts talking about opinions and suggestions on congress 
B,"How do we get some of these guys that have been in there for so long,",,,
B,how do we get them to not get reelected over and over again.,,,
A,"Well, I have an easy answer for that, oh, I wish they would do it, is that limit it, you know, to eight or ten years max.",,,
B,Yeah.,,,
A,"You know, whether that's two five year terms or whatever.",,,
B,I,,,
B,yeah.,,,
B,Yeah.,,,
B,"That may be our only answer,",,,
B,but I don't really like it.,,,
B,I don't like the fact that the President is limited in the number of terms he can serve.,,,
A,"Oh, you know, you're not.",,,
B,"I think if the President, be him Republican or Democrat,",,,
B,"I think if the President can prove that he's popular, you know, that he can do the job then the people should be allowed to elect him as often as they want.",,,
A,Yeah.,off topic end,,
B,I think the reason why we've got these guys in Congress is because of the fund raising rules.,,,
B,"I mean, how many of these big campaign contributions that they're running on this year, did they get after they were elected, just, you know, just after they were elected two years ago.",off topic start,,person talks about lobbying and campaigning
A,Yeah.,,,
B,"Basically the people,",,,
B,"as soon as they get elected, the people dump all kinds of money on them and say, Yeah, yeah, you're my friend,",,,
B,"you're my friend,",,,
B,and two years later he remembers that.,,,
B,And what they done is they've bought this congressman for two years.,,,
A,"Yeah,",,,
A,"I don't know,",,,
A,"I do like the limitation of the President,",,,
A,and I think there is a needed change.,,,
A,I think the same thing should happen for Congress.,,,
A,"I, I'd you know,",,,
A,that would be my answer of an easy way to get these guys out of there for twenty years.,,,
B,"Yeah,",,,
B,well.,,,
A,"My God, it's ridiculous, you know.",,,
B,"That's, that's the easy way.",,,
B,I think the harder way out would be to make the guys that are in there and the guys who are trying to get in there run on more level ground,,,
A,We had.,,,
B,"That's what the financing rules and the, uh, the mailing rules and the size of the office staff and all that stuff.",off topic end,,
A,"I think voting is, is a I think I had one of the subject about voting, and, uh, voting apathy, or something like that,",minor topic start,,person starts talking about voting issues
A,"and I think that, uh, the voting rules need to be changed where you have a little more time.",,,
A,"I can't believe that a country our big votes for a President from seven o'clock in the morning til seven o'clock at night, you know.",,,
B,Yeah.,,,
A,"Of course they have absentee which is getting to be more, a lot easier,",,,
A,"and I, I vote as often on absentee as I can because it's so easy now.",,,
A,"But, I think, gee whiz, you could make it a couple days.",,,
A,"It's just, if you really want the majority of the people to vote then give them a couple of days.",,,
B,Yeah.,minor topic end,,
B,"Well, I think a lot more people could vote if they were somehow persuaded that it's something worth caring about.",,,
A,"Yeah,",,,
A,yeah.,,,
