Name,Topic
3518.csv,Brian thanks total banner no
4051.csv,three years
3041.csv,movies list list disturbing movie
3570.csv,Howard budget keep exploring halt office
4048.csv,times drug employment random drug testing alcohol alcohol marijuana cocaine
3009.csv,no nine younger brothers sisters center babysitters children
3317.csv,house swimming pool twenty seven hundred square foot four bedrooms alike house twelve half years
3310.csv,home care parents sooner mother mother nursing homes six weeks hardest life devastating nursing homes
3064.csv,credit cards
2663.csv,not not not Democrat Republican kick Schwartzkopf politics generals general politics hero hero magazine staff corporate presidents training educated corporate president person education corporate president Army war training industry generals service Schwartzkopf politician Governor
2621.csv,women knowledgeable pro football team Steelers Cowboys games past nearly Bradshaw Dallas Fort Worth horse farm town called Roanoke Texas Dallas scene management coaching motivator primarily quarterbacks Dallas Houston Super Bowl
3908.csv,Allen American women generations honor accept responsibilities jobs responsibility men salaries
3344.csv,East affair Mideast talks exception hostages domestic problems Soviet Union Reagan international budget deficit
2072.csv,hobbies spare crafts dolls hats flowers roses satisfaction not not keyboards
2040.csv,statehood independence Puerto Rico experience state concern Puerto Rico living income climate heating housing northern territories however status quo Puerto Rico Corps training student California Spanish
2039.csv,public television English comedies English mysteries vociferously
3993.csv,painting class four years projects
3331.csv,major public school system not discipline parents children school death disciplined discipline daughter receives school not not classrooms school kids classroom fourth grade children classroom classroom teacher cannot school school sued
2672.csv,central location main highway bins newspaper plastic bins glass combination container aluminum
2604.csv,public service tries not mandatory mandatory not poor people sons
4037.csv,Indiana death penalty
2652.csv,Dallas summertime shorts day
3327.csv,car blessings car complicated
3584.csv,home
3364.csv,Saint Elsewhere Thirty daughter fourteen two children forty kids sports Sunday nights Life Goes On Sunday
3036.csv,music country music Texas not Georgia Chicago category
2602.csv,instability country
2631.csv,
3514.csv,vacations places Paris France friend April family lives grandmother lives exciting place New Mexico Tahiti
3065.csv,seventies point push encourage
3359.csv,near dear heart healthy eater not particular food Italian restaurant restaurant Rome New York restaurants
2648.csv,Earth Day pollutants pollutants air channel thirteen programs not programs environment Earth population increases cars cars population industry pollution incredible not pollutants air
2120.csv,ramifications England Margaret Thatcher Indira Gandhi India state woman president not president woman president observed
3050.csv,cause husband golfer six handicap twenty two years playing avid golfer clubs twenty years recently
4019.csv,Chuck pets home cat two years sassy tabby disposition Siamese cat
3500.csv,doctors lawyers whatnot national health insurance money money state Texas health insurance students doctors doctors doctors doctor premiums doctors
2078.csv,Sharon Nolan Ryan baseball million dollars football players football
3028.csv,announce restaurant dining not price
3379.csv,Soviet Union United States struggle within Soviet Union people independence Gorbachev
2586.csv,boat shore catfish Colorado mountains mountain streams rivers
3508.csv,recycling newspapers boys Resurrection Lutheran Church paper Boy Scout troop quit city Plano Plano
3382.csv,books chance newspaper pilot space equipment
3061.csv,
3595.csv,Arlington Texas Arlington Virginia Birmingham names country truth college four years no Grace Kelly
3054.csv,not camped years Tyler State Park Dangerfield Texas Tyler facilities children kids camp Dangerfield east further east
4079.csv,budget family tighter controlled budget not tight budget track month expenses month month
3338.csv,
3018.csv,Thirtysomething comedy
3311.csv,twenty older Provo Utah Plano Texas UTD
3979.csv,afternoon Doug pleasure chat Plano Texas list invasions Doug
3340.csv,drug testing Maryland Baltimore train conductors drugs terrible accidents five truck truck driver marijuana marijuana lunch cars Chesapeake Bay traffic fire field truck drivers drug tested
3365.csv,Donna officer Air Force Club Mexican food dinner party
3369.csv,new movie shows rent Dance With Wolves
3040.csv,national deficit not income tax Texas
3057.csv,
2647.csv,parent child child experience college University Texas Austin students college thousand people cultures thousand students
3313.csv,discuss crime United States Richardson Maceo High School Dallas no mine college high school not rampages
3563.csv,Ron Ron Moore Dallas Maverick fan hurt bones Roy Tarpley Donald Carter owners management position playing national championship championship rebuilding phase Maverick fan Boston Celtics Boston Celtics
2041.csv,exercise attitudes student
3012.csv,hello Plano
2645.csv,hobbies hobbies handicrafts handicrafts handicraft writing knows fifteen twenty percent
4050.csv,oops button Melanie Harrisville Utah family reunions family reunion
2008.csv,hi Cynthia dress business home sweats kids meeting client suit regular clothes
4080.csv,shot market Texas gun control
4056.csv,Honeywell Minneapolis vision dental medical professor
2603.csv,task stationary bike regular bike bike outside stationary bike phones living room TV fish TV occupied watch TV bike bike not not
3550.csv,
2667.csv,
2619.csv,metric system
2038.csv,Central America Latin America include Central South America Sao Paulo Brazil four years Panama Canal accommodate Panamanians Noriega
3325.csv,pet two cats two fish husband marry husband outdoorsman Marlboro person sporting dog black Labrador black Labrador ranch farm negotiated sleeps laundry room girls purebred line cat dog person chair cuddle course yard worst three eight months old not not kitchen baby gates hour home wallpaper wall
2024.csv,books subscription mother Texas
4033.csv,current information college professors
3367.csv,children women live lives
