Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,This is Archie.,opening,,
B,"Hi, Archie.",,,
B,I'm Sharon.,,,
A,Have you seen DANCING WITH WOLVES?,major topic start,,
B,Yeah.,,,
B,"I've seen that,",,,
B,"that's, uh, that was a really good movie.",,,
B,Probably one of the best things about it was the scenery,,,
B,"and, uh, I thought the story was pretty good, too.",,,
B,"I, I think Kevin Costner did a really good job with it.",,,
A,Have you ever lived in that part of the country?,,,
B,No.,,,
B,I haven't.,,,
A,Have you ever visited it?,,,
B,"Um, I've visited the Wyoming area.",,,
B,I'm not sure exactly where DANCES WITH WOLVES was filmed.,,,
A,I think it was the black hills of South Dakota.,,,
B,Could be.,,,
B,"I, I haven't been to South Dakota.",,,
B,"Have, have you been up to that?",,,
A,"Well, I lived in Omaha for five, winters,",,,
B,Oh.,,,
B,Okay.,,,
A,"and that rolling kind of, uh,",,,
B,Terrain.,,,
A,Yeah.,,,
A,"Is, is fairly .",,,
A,"The thing that I thought was interesting was that the critics,",,,
A,apparently it's going to win everything.,,,
B,Really?,,,
A,"Uh, and I had been told, you know, you wouldn't notice that it was three hours long, and all this, kind of,",,,
B,That's true.,,,
B,I agree with that.,,,
B,"Um, I, I noticed yesterday in the paper, something said that it,",,,
B,I think it's been nominated for twelve awards,,,
B,"and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going to be a dud.",,,
B,"So, it, it has surprised everybody.",,,
A,"Well, the interesting thing was is I had heard that,",,,
A,"and I, I, I tend to, I think, overreact occasionally when somebody tells me it's that great.",,,
A,"And, and it was, the thing is, it was, it was a good story.",,,
B,Uh-huh.,,,
B,Right.,,,
A,"And, and, and I guess that's what I really like.",,,
A,"Although, I must admit I did look at my watch after about an hour.",,,
B,Did you?,,,
A,Yeah.,,,
B,Have you seen SLEEPING WITH THE ENEMY?,minor topic start,,
A,No.,,,
A,"I've heard, I've heard that's really great, though.",,,
B,you have to go see that one.,,,
B,And how about SILENCE OF THE LAMB?,,,
A,"No,",,,
B,Go.,,,
A,You must really keep up.,,,
B,I do.,,,
B,I go every weekend,,,
B,"I, I, uh,",,,
B,"those are two definite must see movies, I think.",,,
A,"Well, isn't, isn't SLEEPING WITH THE ENEMY, isn't that a,",,,
A,"is it, is it a terror movie",,,
A,or is it just suspenseful?,,,
B,It's suspenseful.,,,
B,I don't think it's very,,,
B,"I mean, there's not really any, uh, blood and guts in it or anything like that.",,,
B,"It's, it's more suspense.",,,
B,"Um, the other one, SILENCE OF THE LAMBS, is kind of a, a gory movie, if, if somebody's not into that kind of stuff.",,,
B,"It's, it's pretty graphic at points.",,,
B,"But, uh, I think they're both excellent movies.",minor topic end,,
A,"Do you, do you listen to Gary Cogill?",minor topic start,,
B,No. Huh-uh. *two utts,,,
A,"Is, uh,",,,
A,do you know who he is?,,,
B,Yeah.,,,
B,Somebody in South Carolina told me about him.,,,
A,"He's a, the movie critic.",,,
A,"Um, oh, you've, oh,",,,
A,okay.,,,
A,He's a movie critic on channel eight in Dallas.,,,
B,Yeah.,,,
A,"And he does, uh, he has a talk show on the, K L I F.",,,
A,"Anyway, it's on from seven to nine, or something.",,,
A,"And, and, and people call in",,,
A,"and it's, if you keep up with movies, it's kind of interesting.",,,
A,There's a certain a mount of dribble that they do.,,,
A,"They've got, uh, they've got a couple of kids, ten or twelve years old,",,,
A,and they call in,,,
A,and they review movies.,,,
A,"But it's, uh",,,
B,Oh.,,,
A,"he, anyway, he,",,,
A,it's interesting.,,,
A,You listen to him,,,
A,"and then you, you go watch the movie.",,,
A,"In fact, they had, people had just seen,",,,
A,"I was listening Sunday night a little bit when, I was going to pick up my daughter.",,,
B,Uh-huh.,minor topic end,,
A,"But, anyway, it was, uh, the,",,,
A,"it, it's interesting, though,",,,
A,or did he just do it?,,,
B,"I think that, I think he really,",,,
B,"his heart was in it,",,,
B,"but I, I don't think he really knew it was going to be as big as it was.",,,
B,I think it was something that he really wanted to do.,,,
B,"He wanted to direct it,",,,
B,"he wanted to, to star in it.",,,
B,"You know, he, he enjoyed the story line",,,
B,and I think he just really he really wanted it.,,,
B,"And whether it, whether it won all kinds of awards or whether it just was okay at the box office, I think he would have been happy.",,,
B,"Because I think that, I think he did a good job",,,
B,"and, and the self-satisfaction he got out of it is much greater than any awards that they can give him.",,,
A,"Do you know who the guy was that was playing the, uh, the, the wagon driver?",minor topic start,,
B,Um.,,,
A,A little piece of trivia.,,,
A,"You know, the guy when he first headed out from the army post.",,,
B,Yeah.,,,
B,"Who,",,,
B,no,,,
B,I don't know who that guy is.,,,
A,"He, he plays on MURPHY BROWN.",,,
B,"Oh, he does?",,,
A,Yes.,,,
A,"He's, he's Eldon, her housepainter.",,,
B,As a recurring character every week?,,,
B,Oh.,,,
A,"Can you, believe that?",,,
B,"No,",,,
B,"now see, I'd, I'd a never put those two together.",,,
A,"That's, that's one of those interesting pieces of trivia that somebody said, did you notice that?",,,
B,Huh-uh.,,,
A,"I thought, no, it's really funny.",,,
A,"But I thought, it, it,",,,
A,"you think back,",,,
A,"and yeah,",,,
A,"it was him, but with a you know, with the beard and all that stuff.",,,
B,Yeah.,,,
A,"I mean, it's, uh,",,,
B,"Yeah,",,,
B,real scruffy looking,,,
A,Yeah.,,,
A,"Real scruffy looking,",,,
A,"and it it was really funny, it's, uh, that, that he winds up playing in the movie.",,,
A,"But I thought, it's good that, you know,",,,
A,it was a lot of fun.,minor topic end,,
B,Yeah.,major topic end,,
A,I don't know how long this conversation is supposed to go,,,
A,but we're at about five minutes.,,,
A,I should think we've done enough.,,,
B,You think so?,closing,,
B,"I mean, I haven't been watching my watch.",,,
B,"Um, I guess,",,,
B,yeah.,,,
B,Does it usually cut off?,,,
B,"Is that what, it does?",,,
A,"Well, I don't know.",,,
A,Why do we end this thing?,,,
B,"It used to, it used to just automatically cut off",,,
A,I think it just says hang up.,,,
B,but it says when the conversation is over just say your good-byes and hang up.,,,
B,"So, I, I guess so.",,,
A,Why don't we do that?,,,
B,Okay.,,,
A,Good-bye Sharon.,,,
B,Good talking to you Archie,,,
