Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay, Bill,",,,
A,right?,,,
B,Yes.,,,
A,"Okay, Bill,",,,
A,have you done much camping?,,,
B,"Uh, yes.",,,
B,I'm a scoutmaster in Boy Scouts.,,,
A,Uh-huh.,,,
B,"And I camp, uh, every month, uh, camp at least one weekend",,,
B,"and during the summer we camp, uh, two or three weeks a year",,,
A,"Oh, well, that, that sounds good.",,,
B,I'd say I camp quite a bit.,,,
A,"Yeah,",,,
A,you do.,,,
A,"Um, now do you have a lot mountains,",,,
A,"well, you don't have mountains in Texas, do you.",,,
A,Where do you find places to camp?,,,
B,"Well, uh, we, we do a lot of canoeing when we go camping",,,
A,Oh.,,,
B,"and we, uh, we also, uh, carry all our equipment with us",,,
A,Uh-huh.,,,
B,"and so we canoe down the river and then, sleep on the river on one of the, um, sand bars and then get up the next morning, cook our breakfast, and go down the river again.",,,
A,Oh.,,,
A,"Oh, my word.",,,
A,Well that sounds adventuresome,,,
B,How about yourself?,,,
A,"Well, um, I've done, oh, I would say quite a bit of camping, mostly with my husband and I.",,,
A,"Um, we have five children,",,,
A,and so we have found that camping with the little ones isn't as enjoyable as just when we go ourselves.,,,
A,"So we've tried to get out once a year and go on a anniversary camp out,",,,
A,"and we have gone up into the mountains and, uh, not necessarily roughed it,",,,
A,but we have just found it just real enjoyable to be alone up in the mountains.,,,
B,"Well, that's good.",,,
A,"And, then the boys are, our boys are old enough now,",,,
A,"they're twelve and eleven,",,,
A,"and so, they're involved in the scouting",,,
A,and they do a lot of camping with the scouts,,,
B,Uh-huh.,,,
A,"and last time our one twelve year old went to the scout camp for a week,",,,
A,"and so this year they'll both be going,",,,
A,and so that's been real enjoyable for them.,,,
B,Great.,,,
A,So.,,,
B,"What, uh, what kind of camping do they like best?",,,
B,Do they like it where they have tents,,,
B,"and, uh, do they cook on stoves?",,,
A,"Um, yes,",,,
A,"they've, well,",,,
A,"no,",,,
A,"actually they've, I remember, they have taken the, the the heavy cast iron dutch ovens and done their cooking there over the fire,",,,
A,and I don't think they've taken the stoves.,,,
A,"Um, last year they camped in tents,",,,
A,and this year I believe they will be in tents also.,,,
B,Uh-huh.,,,
B,Course I imagine it gets cold in parts of Utah.,,,
A,"Uh-huh,",,,
A,yeah.,,,
B,"It doesn't get very cold in Texas,",,,
B,so lots of times we don't even take tents.,,,
A,"Oh, is that right?",,,
B,We just use trail tarps.,,,
A,"Oh, and what does that consist of?",,,
B,"Uh, it's just a piece of material that has, uh, that has a lot of places where you can tie off to it and make it into a tent uh, like a, uh,",,,
A,Oh.,,,
A,Uh-huh.,,,
B,they're very light weight,,,
B,and we use them when we go backpacking.,,,
B,"So we go backpacking fifteen or twenty miles, then, uh,",,,
B,"they're not very heavy, see",,,
A,Uh-huh.,,,
B,"so you carry them with you,",,,
B,and they'll keep you dry or whatever.,,,
A,Oh.,,,
A,"Yes,",,,
A,"well, see, when, when we go camping here,",,,
A,"we have to take our big huge, heavy sleeping bags, and lots of tents",,,
A,"and, I like to sleep on the air matresses.",,,
A,"I'm not,",,,
A,"my bones are getting so old,",,,
A,"so I like to, I like to sleep on the matresses.",,,
B,Uh-huh.,,,
A,"Um, so, have you had any adventures on your camping trips, with, encounters with wild animals or anything like that?",,,
B,"yes,",,,
B,"in fact, uh, um, last month we went camping,",,,
B,"we saw a lot of deer uh, in the morning and the afternoon just deer everywhere.",,,
A,Oh.,,,
A,My word.,,,
A,Gee.,,,
B,"Uh-huh,",,,
B,"so, uh, but, it, even though, uh, it wasn't hunting season,",,,
B,"and we were with Boy Scouts,",,,
B,"so of course we don't, uh, want to go  hunting.",,,
A,Uh-huh.,,,
B,"But we got to see a lot of deer um, out and about",,,
A,Oh.,,,
B,"and there's,",,,
B,"of course, we see smaller animals all the time,",,,
B,"and, uh, one thing that is a big concern in the evening, at night, uh, is, uh, make sure that all the food's put away and so forth because, uh, we have, uh, armadillos.",,,
A,Oh.,,,
B,Do you know what  armadillo is?,,,
A,Oh.,,,
A,"Uh, they're covered like with a heavy armor type stuff,",,,
B,Uh-huh.,,,
A,uh-huh.,,,
B,"And possums, and, uh, raccoons.",,,
A,My word.,,,
B,"And we have those creatures down here that they like to, uh, they like to go hunting for a midnight snack.",,,
A,Uh-huh,,,
B,"And so that, that, uh, that can be a problem if you don't put all your equipment away.",,,
A,But they won't necessarily attack a human or bite you or anything.,,,
B,They will if you attack them.,,,
A,Oh.,,,
B,"But most time they run away from you if they, if they see you're up, you know",,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,but they don't have any problem walking right by you if you're asleep.,,,
A,"Oh, my word",,,
B,So.,,,
A,"Well, that sounds a little less fierce than bears.",,,
A,"We, we want to,",,,
